canonical_player_id,source,source_player_id,player_name,tour,match_external_id
,flashscore,lWQ3G6gB,Cerundolo F.,ATP,zqg4WAIP
,flashscore,AXL5qpKa,Etcheverry T. M.,ATP,zqg4WAIP
,flashscore,dd8jLjtO,Baez S.,ATP,nu885Twp
,flashscore,jeXTxMIp,Darderi L.,ATP,nu885Twp
,flashscore,nLoK5syL,Fritz T.,ATP,EXCGDx1n
,flashscore,UH09iaZ6,Cilic M.,ATP,EXCGDx1n
,flashscore,zXddgn9o,Shapovalov D.,ATP,WQnmRMNH
,flashscore,QNuG0Gzb,Shelton B.,ATP,WQnmRMNH
,flashscore,EZgZ9Xfh,De Minaur A.,ATP,E5AixTin
,flashscore,O4ywE5Ah,Humbert U.,ATP,E5AixTin
,flashscore,CzXh4LAb,Bublik A.,ATP,xxe6CSXp
,flashscore,t0WN9vR6,Auger-Aliassime F.,ATP,xxe6CSXp
,flashscore,neAMoGXa,Nishioka Y.,ATP,I5Bx63YP
,flashscore,zJqvgzz6,Wong C.,ATP,I5Bx63YP
,flashscore,IHCZRRUJ,Wu Y.,ATP,MZLVfwQO
,flashscore,8ASNvPfK,Smith C.,ATP,MZLVfwQO
,flashscore,O4aHjdoE,Schoolkate T.,ATP,QBOjr0tJ
,flashscore,hn8XQkiU,Cassone M.,ATP,QBOjr0tJ
,flashscore,IiUa42eG,Svajda Z.,ATP,tdKFbLQa
,flashscore,vynGYhMa,Draxl L.,ATP,tdKFbLQa
,flashscore,f9eT4NTQ,Mmoh M.,ATP,E9INdaeC
,flashscore,dCvHbO15,Hijikata R.,ATP,E9INdaeC
,flashscore,QcT8wHe4,Svrcina D.,ATP,ll280sdm
,flashscore,vDue624T,Mejia N.,ATP,ll280sdm
,flashscore,86URR6MP,Willwerth B.,ATP,IoLrpMB6
,flashscore,AXSokF3b,Shimabukuro S.,ATP,IoLrpMB6
,flashscore,OGLM2tDB,Walton A.,ATP,WUMznrsf
,flashscore,jNRjAU1U,Moreno De Alboran N.,ATP,WUMznrsf
,flashscore,biuyCvl4,Halys Q.,ATP,WO5oR2qo
,flashscore,EDve8Ljh,Alkaya M.,ATP,WO5oR2qo
,flashscore,Es82hMVD,McCabe J.,ATP,0tFFWOLN
,flashscore,2uDohcK5,Choinski J.,ATP,0tFFWOLN
,flashscore,AimJEnvL,Mochizuki S.,ATP,dp6vmp64
,flashscore,KrwvlzXb,Al-Sulaiti G.,ATP,dp6vmp64
,flashscore,vD0zNRBM,Vukic A.,ATP,OIhXl6yh
,flashscore,O2CmIROi,Herbert P.,ATP,OIhXl6yh
,flashscore,Kb8ttRy2,Basilashvili N.,ATP,WxLFtHue
,flashscore,GhVfMwlD,Ymer E.,ATP,WxLFtHue
,flashscore,hnYnFaTm,Virtanen O.,ATP,86bQwtTj
,flashscore,CYvP71IU,Carreno-Busta P.,ATP,xO7fq25T
,flashscore,W8WmcXdq,Bennani R.,ATP,xO7fq25T
,flashscore,G0X2O6XR,Trungelliti M.,ATP,YqjC1qLc
,flashscore,dQJqWoGg,Harris B.,ATP,YqjC1qLc
,flashscore,hj8fIZPg,Carballes Baena R.,ATP,vV28rwBr
,flashscore,CzqMZAAA,Miedler L.,ATP,vV28rwBr
,flashscore,SptFeDiE,O'Connell C.,ATP,4A9noOzH
,flashscore,ETojuYQP,Faria J.,ATP,U7Pz1aHt
,flashscore,W24W9IyU,Jarry N.,ATP,U7Pz1aHt
,flashscore,SU8MMreH,Moller E.,ATP,Y3YBpvXa
,flashscore,6iHVMexn,Passaro F.,ATP,Y3YBpvXa
,flashscore,j3oO3m94,Pellegrino A.,ATP,EekRtdWO
,flashscore,ENPUiYgk,Gaubas V.,ATP,EekRtdWO
,flashscore,GKJCcXKk,Tseng C. H.,ATP,O8X6gZFU
,flashscore,SlYNMbDS,Marcondes I.,ATP,O8X6gZFU
,flashscore,fkLRaqYe,Dellien H.,ATP,6VoJrI1C
,flashscore,bJf33z45,Lajovic D.,ATP,6VoJrI1C
,flashscore,YqLucTlj,Vallejo D.,ATP,GrUbeeoI
,flashscore,U5RiWEZu,Monteiro T.,ATP,GrUbeeoI
,flashscore,jgzV6009,Galan D. E.,ATP,xYSrawng
,flashscore,YcluY2Zi,Prizmic D.,ATP,xYSrawng
,flashscore,Ewzudtxk,Barrios Vera T.,ATP,rVVjcHG5
,flashscore,4vuKo3sT,Boscardin Dias P.,ATP,rVVjcHG5
,flashscore,AqVez8TJ,Muchova K.,WTA,rcC7Gt66
,flashscore,Or4Qa1ye,Mboko V.,WTA,rcC7Gt66
,flashscore,Cjagsdf4,Baptiste H.,WTA,INIvcbyK
,flashscore,WUQY7p9b,Sramkova R.,WTA,INIvcbyK
,flashscore,rsErY1Yt,Erjavec V.,WTA,d6V5oUcd
,flashscore,K25VJT7h,Uchijima M.,WTA,d6V5oUcd
,flashscore,boU2UKtN,Rakhimova K.,WTA,48noz1fJ
,flashscore,WSCEkk6I,Seidel E.,WTA,48noz1fJ
,flashscore,ra7IoKGO,Stearns P.,WTA,O81f95K6
,flashscore,YsJXLo1O,Ruse G.,WTA,O81f95K6
,flashscore,S4ljFw3g,Birrell K.,WTA,6mcsKMYO
,flashscore,vw1oqIPi,Volynets K.,WTA,6mcsKMYO
,flashscore,W6pL8zuB,Frech M.,WTA,YLBnAShm
,flashscore,MysmW1jf,Gracheva V.,WTA,YLBnAShm
,flashscore,pA0aW3EL,Cocciaretto E.,WTA,CIVZEafL
,flashscore,pQGynuhR,Zakharova A.,WTA,CIVZEafL
,flashscore,nFb01JTe,Kartal S.,WTA,jTlNrk4d
,flashscore,S6JNQ85M,Sasnovich A.,WTA,jTlNrk4d
