player,tour,window,hard_svc_matches,hard_svc_aces_per_game,hard_svc_dfs_per_game,hard_svc_ace_to_df_ratio,hard_svc_first_serve_pct,hard_svc_first_serve_win_pct,hard_svc_second_serve_win_pct,hard_svc_service_pts_win_pct,hard_svc_bp_save_pct,hard_svc_hold_pct,hard_ret_matches,hard_ret_opp_aces_per_game,hard_ret_opp_dfs_per_game,hard_ret_opp_first_serve_pct,hard_ret_first_return_win_pct,hard_ret_second_return_win_pct,hard_ret_return_pts_win_pct,hard_ret_bp_win_pct,hard_ret_opp_hold_pct,clay_svc_matches,clay_svc_aces_per_game,clay_svc_dfs_per_game,clay_svc_ace_to_df_ratio,clay_svc_first_serve_pct,clay_svc_first_serve_win_pct,clay_svc_second_serve_win_pct,clay_svc_service_pts_win_pct,clay_svc_bp_save_pct,clay_svc_hold_pct,clay_ret_matches,clay_ret_opp_aces_per_game,clay_ret_opp_dfs_per_game,clay_ret_opp_first_serve_pct,clay_ret_first_return_win_pct,clay_ret_second_return_win_pct,clay_ret_return_pts_win_pct,clay_ret_bp_win_pct,clay_ret_opp_hold_pct,grass_svc_matches,grass_svc_aces_per_game,grass_svc_dfs_per_game,grass_svc_ace_to_df_ratio,grass_svc_first_serve_pct,grass_svc_first_serve_win_pct,grass_svc_second_serve_win_pct,grass_svc_service_pts_win_pct,grass_svc_bp_save_pct,grass_svc_hold_pct,grass_ret_matches,grass_ret_opp_aces_per_game,grass_ret_opp_dfs_per_game,grass_ret_opp_first_serve_pct,grass_ret_first_return_win_pct,grass_ret_second_return_win_pct,grass_ret_return_pts_win_pct,grass_ret_bp_win_pct,grass_ret_opp_hold_pct
Aaron Addison,ATP,all time,1.0,0.67,1.0,0.67,0.5,0.7190000000000001,0.344,0.531,0.75,0.556,1.0,0.0,0.13,0.608,0.226,0.3,0.255,0.0,1.0,1.0,0.67,1.0,0.67,0.5,0.7190000000000001,0.344,0.531,0.75,0.556,1.0,0.0,0.13,0.608,0.226,0.3,0.255,0.0,1.0,,,,,,,,,,,,,,,,,,,
Aaron Yovan,ATP,all time,1.0,0.7,0.5,1.4,0.61,0.722,0.478,0.627,0.6,0.8,1.0,0.7,1.2,0.5770000000000001,0.122,0.6,0.324,0.0,1.0,1.0,0.7,0.5,1.4,0.61,0.722,0.478,0.627,0.6,0.8,1.0,0.7,1.2,0.5770000000000001,0.122,0.6,0.324,0.0,1.0,,,,,,,,,,,,,,,,,,,
Abbie Myers,WTA,all time,11.0,0.18,0.58,0.31,0.527,0.565,0.3979999999999999,0.486,0.356,0.444,11.0,0.41,0.34,0.611,0.341,0.536,0.417,0.39,0.7190000000000001,1.0,0.53,1.0,0.53,0.492,0.695,0.4589999999999999,0.575,0.615,0.667,1.0,0.25,0.19,0.732,0.3379999999999999,0.5770000000000001,0.402,0.7140000000000001,0.688,1.0,0.31,0.23,1.35,0.68,0.627,0.542,0.6,0.375,0.615,1.0,0.21,0.07,0.747,0.382,0.348,0.374,0.429,0.7859999999999999
Abdulla Al Haji,ATP,all time,3.0,0.0,0.27,0.0,0.643,0.494,0.152,0.372,0.238,0.273,3.0,0.75,0.15,0.6,0.0559999999999999,0.1669999999999999,0.1,0.0,1.0,3.0,0.0,0.27,0.0,0.643,0.494,0.152,0.372,0.238,0.273,3.0,0.75,0.15,0.6,0.0559999999999999,0.1669999999999999,0.1,0.0,1.0,,,,,,,,,,,,,,,,,,,
Abdulla Al Mohamoud,ATP,all time,1.0,0.33,1.33,0.25,0.3329999999999999,0.364,0.2269999999999999,0.273,0.25,0.0,1.0,0.67,0.5,0.5710000000000001,0.0,0.3329999999999999,0.143,0.0,1.0,1.0,0.33,1.33,0.25,0.3329999999999999,0.364,0.2269999999999999,0.273,0.25,0.0,1.0,0.67,0.5,0.5710000000000001,0.0,0.3329999999999999,0.143,0.0,1.0,,,,,,,,,,,,,,,,,,,
Abdulla Al-Jufairi,ATP,all time,1.0,0.17,0.67,0.25,0.5,0.3329999999999999,0.067,0.2,0.25,0.0,1.0,0.67,0.0,0.5,0.0,0.154,0.077,0.0,1.0,1.0,0.17,0.67,0.25,0.5,0.3329999999999999,0.067,0.2,0.25,0.0,1.0,0.67,0.0,0.5,0.0,0.154,0.077,0.0,1.0,,,,,,,,,,,,,,,,,,,
Abdulla Magdas,ATP,all time,1.0,0.2,0.1,2.0,0.645,0.551,0.519,0.539,0.5710000000000001,0.7,1.0,1.0,0.0,0.596,0.179,0.105,0.149,1.0,0.9,1.0,0.2,0.1,2.0,0.645,0.551,0.519,0.539,0.5710000000000001,0.7,1.0,1.0,0.0,0.596,0.179,0.105,0.149,1.0,0.9,,,,,,,,,,,,,,,,,,,
Abdullah Maqdes,ATP,all time,5.0,0.09,0.21,0.43,0.713,0.564,0.427,0.524,0.474,0.535,5.0,0.4,0.21,0.574,0.2,0.435,0.3,0.188,0.93,5.0,0.09,0.21,0.43,0.713,0.564,0.427,0.524,0.474,0.535,5.0,0.4,0.21,0.574,0.2,0.435,0.3,0.188,0.93,,,,,,,,,,,,,,,,,,,
Abdullah Shannan Alharrasi,ATP,all time,2.0,0.15,1.0,0.15,0.477,0.39,0.267,0.326,0.3329999999999999,0.077,2.0,0.83,0.33,0.754,0.07,0.429,0.158,0.0,1.0,2.0,0.15,1.0,0.15,0.477,0.39,0.267,0.326,0.3329999999999999,0.077,2.0,0.83,0.33,0.754,0.07,0.429,0.158,0.0,1.0,,,,,,,,,,,,,,,,,,,
Abdulrahman Al Harib,ATP,all time,3.0,0.16,0.26,0.62,0.649,0.5539999999999999,0.4,0.5,0.476,0.421,3.0,0.25,0.35,0.653,0.3289999999999999,0.5710000000000001,0.413,0.75,0.7,3.0,0.16,0.26,0.62,0.649,0.5539999999999999,0.4,0.5,0.476,0.421,3.0,0.25,0.35,0.653,0.3289999999999999,0.5710000000000001,0.413,0.75,0.7,,,,,,,,,,,,,,,,,,,
Abdulrahman Al Janahi,ATP,all time,2.0,0.0,0.4,0.0,0.616,0.362,0.465,0.402,0.476,0.267,2.0,0.21,0.0,0.61,0.255,0.267,0.26,0.1669999999999999,0.929,2.0,0.0,0.4,0.0,0.616,0.362,0.465,0.402,0.476,0.267,2.0,0.21,0.0,0.61,0.255,0.267,0.26,0.1669999999999999,0.929,,,,,,,,,,,,,,,,,,,
Abedallah Shelbayh,ATP,all time,12.0,0.42,0.35,1.2,0.5770000000000001,0.672,0.495,0.597,0.591,0.735,12.0,0.48,0.25,0.649,0.288,0.512,0.367,0.478,0.77,12.0,0.42,0.35,1.2,0.5770000000000001,0.672,0.495,0.597,0.591,0.735,12.0,0.48,0.25,0.649,0.288,0.512,0.367,0.478,0.77,6.0,0.35,0.46,0.76,0.5660000000000001,0.696,0.531,0.624,0.564,0.754,6.0,0.45,0.37,0.59,0.272,0.527,0.377,0.375,0.821
Abhijeet Tiwari,ATP,all time,2.0,0.1,0.24,0.42,0.631,0.561,0.354,0.485,0.476,0.476,2.0,0.57,0.19,0.537,0.273,0.544,0.3979999999999999,0.5,0.7140000000000001,2.0,0.1,0.24,0.42,0.631,0.561,0.354,0.485,0.476,0.476,2.0,0.57,0.19,0.537,0.273,0.544,0.3979999999999999,0.5,0.7140000000000001,,,,,,,,,,,,,,,,,,,
Abigail Guthrie,WTA,all time,2.0,0.44,0.75,0.59,0.4639999999999999,0.608,0.305,0.445,0.3329999999999999,0.375,2.0,0.69,0.56,0.48,0.17,0.49,0.337,0.3329999999999999,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abigail Spears,WTA,all time,44.0,0.38,0.33,1.15,0.583,0.648,0.445,0.564,0.536,0.6559999999999999,44.0,0.21,0.41,0.606,0.3379999999999999,0.516,0.408,0.3939999999999999,0.72,24.0,0.24,0.31,0.77,0.623,0.603,0.433,0.539,0.525,0.604,24.0,0.13,0.38,0.644,0.3929999999999999,0.568,0.456,0.465,0.624,11.0,0.69,0.37,1.86,0.599,0.7070000000000001,0.4379999999999999,0.599,0.6579999999999999,0.725,11.0,0.3,0.32,0.645,0.3329999999999999,0.526,0.401,0.364,0.735
Abigail Tere-Apisah,WTA,all time,1.0,0.33,0.33,1.0,0.541,0.525,0.412,0.473,0.5710000000000001,0.3329999999999999,1.0,0.63,0.38,0.883,0.321,0.7140000000000001,0.367,0.286,0.75,,,,,,,,,,,,,,,,,,,,1.0,0.36,0.29,1.24,0.667,0.603,0.483,0.563,0.5,0.7140000000000001,1.0,0.47,0.2,0.557,0.3389999999999999,0.447,0.387,0.273,0.8
Abir El Fahimi,WTA,all time,,,,,,,,,,,,,,,,,,,,3.0,0.0,1.14,0.0,0.44,0.475,0.216,0.33,0.35,0.071,3.0,0.07,0.36,0.591,0.382,0.368,0.376,0.3329999999999999,0.7859999999999999,,,,,,,,,,,,,,,,,,,
Abril Cardenas Olivares,WTA,all time,1.0,0.14,0.43,0.33,0.605,0.5,0.176,0.372,0.4,0.143,1.0,0.29,0.43,0.529,0.0559999999999999,0.4379999999999999,0.235,1.0,0.857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
