"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Sebastien de Chaunac","1","0.82","0.24","85.3","32.3","41.2","33.6","50","82.4"
"Fernando Romboli","1","0","0","83.3","40","0","33.3","0","100"
"Mark Whitehouse","2","0.57","0.05","81.3","19.8","52.4","25.9","100","90.5"
"Saba Purtseladze","1","0.78","0","81","23.5","50","28.6","66.7","77.8"
"Jerome Kym","1","0.89","0.22","80","15.9","72.7","27.3","0","100"
"George Coupland","1","0.11","0.11","80","25","58.3","31.7","0","100"
"Nicholas David Ionel","1","0.8","0.2","79.7","8.5","50","16.9","0","100"
"Nick Chappell","1","0","0.13","79.5","31.4","55.6","36.4","25","75"
"Boy Westerhof","3","1.2","0","79.2","7.1","36.4","13.2","0","100"
"Myles Orton","2","0.43","0.05","78.3","31.9","26.9","30.8","75","85.7"
"Rainer Eitzinger","1","0.06","0.06","78.2","35.4","31.8","34.7","37.5","81.3"
"Kirill Dmitriev","1","0.1","0.1","77.4","19.5","33.3","22.6","0","100"
"Pablo Martin-Adalia","1","0.89","0.11","77.1","18.9","36.4","22.9","0","100"
"Kristijan Mesaros","1","0.57","0.14","76.9","13.3","66.7","25.6","0","100"
"Koray Kirci","1","0.33","0","76.7","15.2","10","14","0","100"
"Jose Acasuso","1","0.1","0","76.5","10.3","33.3","15.7","0","100"
"Zack Fleishman","1","0.38","0.13","76.1","20","54.5","28.3","0","100"
"Yuta Shimizu","1","0.25","0.13","75","33.3","46.2","36.5","25","87.5"
"Andrei Iakovlev","1","1.17","0.33","75","0","57.1","14.3","0","100"
"Rhett Purcell","1","0.13","0.25","74.4","17.2","20","17.9","0","100"
"Theodoros Angelinos","1","0.2","0.2","74.1","11.6","53.3","22.4","50","90"
"Zhe Li","1","1.55","0.18","74","22.2","57.9","31.5","40","81.8"
"Marek Semjan","1","1.3","0","73.9","21.6","55.6","30.4","25","90"
"Luca Pow","2","0.59","0","73.8","28.8","23.8","27.5","0","100"
"Hady Habib","2","0.36","0.23","73.2","33.9","52.5","38.9","35.3","72.7"
"Sebastian Fanselow","1","0.8","0.1","73.2","12.2","60","25","0","100"
"Dmytro Kamynin","1","1.5","0.13","73.2","20","18.2","19.5","0","100"
"Neil Pauffley","4","0.3","0.07","72.5","30.8","55.6","37.6","33.3","78.3"
"Philip Sekulic","1","0.44","0.25","72.4","29.8","40.6","32.8","0","100"
"Guilherme Clezar","2","0.56","0.11","72.2","3.8","30","11.1","0","100"
"Takao Suzuki","1","0.82","0","72.2","25","35","27.8","0","100"
"Alexander Flock","1","0.25","0.13","72.1","35.5","41.7","37.2","100","75"
"Johannes Haerteis","1","0.44","0","72","19.4","57.1","30","66.7","77.8"
"Uladzimir Ignatik","3","0.6","0.14","72","20.3","37.3","25.1","20","95.2"
"Dimitar Kutrovsky","2","0.67","0.05","72","28.9","51.4","35.2","45.5","76.2"
"Jordan Kerr","1","0.36","0.27","71.8","19.6","45","26.8","0","100"
"Andrew Fitzpatrick","2","0.47","0.18","71.7","28.2","42.9","32.3","42.9","82.4"
"Joao Domingues","3","0.83","0.26","71.6","20.8","45","27.7","0","100"
"Michael Look","1","0.5","0.06","71.6","22.2","40","27.3","20","93.8"
"James Story","1","0.14","0","71.4","24","10","20","0","100"
"Lukas Neumayer","2","1.06","0.28","71.4","15.7","35.7","21.4","0","100"
