"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Seong-Chan Hong","3","0.41","0.03","13.67","60.5","72.3","49.3","63.2","46.2","75.9"
"Nerman Fatic","1","0.86","0.07","12.29","64.3","79.6","56.7","71.4","0","78.6"
"Juan Pablo Ficovich","7","0.36","0.03","12","70.7","67.1","46.6","61.1","63","77.6"
"Daniel King-Turner","2","1.05","0.1","10.5","64.8","83.1","48.9","71.1","33.3","90.5"
"John Isner","75","1.44","0.14","10.29","71.6","80.8","56.3","73.8","67.7","94"
"Guilherme Clezar","2","1.25","0.13","9.62","70.3","50","54.5","51.4","60","50"
"Sander Groen","1","0.82","0.09","9.11","68.4","73.1","58.3","68.4","85.7","90.9"
"Mardy Fish","28","0.99","0.11","9","60.4","83.5","56.5","72.8","63.6","90.4"
"Chris Guccione","14","1.06","0.12","8.83","65.8","80.9","55.4","72.1","63.2","91.7"
"George Coupland","1","1.13","0.13","8.69","63.5","67.5","34.8","55.6","70","62.5"
"Jathan Malik","2","0.68","0.08","8.5","68.2","67.3","52","62.4","50","80"
"Lester Cook","1","0.57","0.07","8.14","70.1","70.5","61.5","67.8","77.8","85.7"
"Edas Butvilas","1","0.73","0.09","8.11","64.6","68.6","50","62","62.5","72.7"
"Ivan Gakhov","1","0.89","0.11","8.09","67.3","67.6","33.3","56.4","66.7","66.7"
"Roger Federer","124","0.71","0.09","7.89","66.2","80.9","59.6","73.7","72.3","93.2"
"Antonio Veic","1","1","0.13","7.69","72","58.3","57.1","58","57.1","62.5"
"Andy Roddick","34","1.06","0.14","7.57","70.1","80.1","56.8","73.1","69.8","93.2"
"Emilio Nava","5","0.98","0.13","7.54","64.3","77.5","58.5","70.7","45.5","88.5"
"Saketh Myneni","3","0.94","0.13","7.23","65.6","64","46.7","58","76.9","81.3"
"Maxime Authom","3","0.35","0.05","7","76.5","71.3","71","71.2","87.5","95"
"Ivan Ljubicic","12","0.89","0.13","6.85","64.5","77","51","67.8","61.2","83.8"
"Matteo Berrettini","57","0.94","0.15","6.27","64","80.1","53.9","70.7","72.5","90.4"
"Di Wu","1","0.5","0.08","6.25","60.8","70.8","45.2","60.8","50","83.3"
"Mili Poljicak","1","0.43","0.07","6.14","68","80.4","50","70.7","0","92.9"
