"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Issa Alharrasi","1","0","0.14","87.5","7.1","50","12.5","0","100"
"Johannes Haerteis","1","0.33","0","80","25","25","25","0","100"
"Dmitri Sitak","1","0.22","0.33","79.7","31.9","41.7","33.9","20","88.9"
"Sam Matheson","1","0.86","0.14","79.4","7.4","57.1","17.6","0","100"
"Blaise Bicknell","1","1","0","77.6","26.7","23.1","25.9","0","100"
"Robert Galloway","1","0.9","0.1","77.6","15.8","27.3","18.4","0","100"
"Jakub Wojcik","1","0.17","0.5","77.5","32.3","50","36.3","25","83.3"
"Franco Squillari","1","0.45","0.09","77.3","25.5","33.3","27.3","25","90.9"
"Navdeep Singh","2","0.2","0.35","77.2","24.8","61.3","33.1","16.7","90"
"Temur Ismailov","1","0.5","0","76.9","20","11.1","17.9","0","100"
"Goran Ivanisevic","1","0.4","0","76.9","15","50","23.1","0","100"
"Casey Hoole","1","0.46","0.08","76.5","21.2","31.3","23.5","25","92.3"
"Juan Espinel","1","0.83","0.25","76.1","29.6","47.1","33.8","40","83.3"
"Tao Mu","2","0.06","0.06","76","19.2","52.2","27.1","25","94.1"
"Issa Shanan Al Harrasi","1","1","0.14","75.8","12","25","15.2","0","100"
"Ali Ghareeb","1","0.14","0","75.8","20","0","15.2","0","100"
"Petros Tsitsipas","1","0.44","0","75.6","19.4","20","19.5","100","88.9"
"Marcin Gawron","1","0.14","0","75.6","29.4","36.4","31.1","20","85.7"
"Kevin Ullyett","1","0.14","0.14","75.6","25.8","30","26.8","0","100"
"Abdullah Shannan Alharrasi","2","0.83","0.33","75.4","7","42.9","15.8","0","100"
"Naveen Sai","1","0.17","0.17","75","18.5","44.4","25","0","100"
"Ahmed Abdrabuh","1","1.17","0.33","75","4.8","42.9","14.3","0","100"
"Colt Gaston","1","0.6","0.3","75","13.9","50","22.9","100","90"
"Michael Linzer","1","0.63","0.13","75","15.2","45.5","22.7","0","100"
"Martin Redlicki","1","1.11","0.33","74","21.6","38.5","26","0","100"
"Alberto Francis","1","1.11","0","73.9","8.8","58.3","21.7","0","100"
"Emilio Bravo","1","0.57","0.14","73.8","25.8","27.3","26.2","0","100"
"Luke Bourgeois","2","0.14","0.1","73.7","20.4","44.9","26.9","12.5","96.6"
"Elwin Antony","1","0.5","0","73.5","11.1","38.5","18.4","0","100"
"Jarryd Chaplin","1","0.9","0.2","73.5","11.1","38.5","18.4","0","100"
"Joshua Milton","1","0.25","0","73.5","4","11.1","5.9","0","100"
"Ryan Goetz","1","0.38","0","73.2","28.8","21.1","26.8","100","92.3"
"Stefanos Sakellaridis","1","0.35","0.29","73.1","26.4","56.3","34.5","50","88.2"
"Rahul Robinson Manoah","1","1.17","0","73.1","0","28.6","7.7","0","100"
"Steven Goh","1","0.22","0.44","73.1","15.8","64.3","28.8","50","88.9"
"Theo Papamalamis","1","0.06","0.18","73","36.9","57.9","42.6","23.1","82.4"
"Nate Bonetto","1","0.7","0.2","72.9","39.2","36.8","38.6","20","80"
"Ki Lung Ng","1","0.5","0.3","72.9","18.6","43.8","25.4","0","100"
"James Watt","1","0.22","0.33","72.7","29.2","44.4","33.3","0","100"
"Borut Puc","1","0.2","0.1","72.7","27.1","38.9","30.3","20","90"
"Zhao Cai","1","0.63","0.13","72.3","23.5","30.8","25.5","0","100"
"Alexander Cozbinov","1","0.33","0.5","72.2","15.4","50","25","0","100"
"John Valenti","1","0.71","0","72.2","7.7","50","19.4","0","100"
"Melle van Gemerden","1","0.05","0.05","72","31.8","57.6","39","50","78.9"
"Moussa Shanan","1","0.17","0.33","71.9","21.7","33.3","25","0","100"
"Mahmoud-Nader Al Balushi","4","0.48","0.17","71.8","18.9","47.9","27.1","11.1","96.6"
"Togan Tokac","1","0.38","0.25","71.4","20","58.3","31","100","87.5"
"Filip Cristian Jianu","1","0.78","0","71.4","25.7","28.6","26.5","25","88.9"
"Duarte Vale","1","0","0.13","71.4","54.3","42.9","51","57.1","50"
"Ramy Labna","1","0.33","0.33","71.4","5","37.5","14.3","0","100"
"Albert Portas","1","0.44","0.33","71.4","8.6","50","20.4","0","100"
"Daniel Rincon","2","0.82","0.12","71.3","16.7","48.3","25.7","0","100"
"Matteo Marrai","1","0.7","0","71.2","33.3","23.5","30.5","66.7","80"
"Amogh Prabhakar","1","0","0.15","71.1","43.8","38.5","42.2","50","61.5"
"Pedro Dumont","1","0.5","0","71.1","21.9","30.8","24.4","0","100"
"Wan Gao","1","0.57","0.29","71.1","18.5","27.3","21.1","0","100"
"Isaac Frost","2","0.94","0.33","71.1","15.9","39.3","22.7","33.3","94.4"
"Artur Chernov","1","0.75","0.25","71.1","12.5","69.2","28.9","50","87.5"
"Adrian Bohane","1","0.43","0.36","71.1","22.2","40.9","27.6","50","92.9"
"Amer Mezri","1","0.17","0.17","71","18.2","22.2","19.4","0","100"
"Adam El Mihdawy","3","0.7","0.22","71","20","42.2","26.5","20","96.3"
"Andrew Coelho","1","0.36","0.5","70.9","19.7","52","29.1","20","92.9"
"Rodrigo Echavarria","1","0.13","0.27","70.8","41.3","34.6","39.3","80","73.3"
"Zhaoyi Cao","1","0.88","0.25","70.8","29.4","28.6","29.2","0","100"
"John van Lottum","2","1.26","0.04","70.8","23.9","34.2","26.9","28.6","91.3"
"Jamie Delgado","1","0.33","0","70.8","23.5","42.9","29.2","33.3","88.9"
"Oscar Manuel Sanchez Hirales","1","0.29","0.29","70.7","13.8","50","24.4","0","100"
"Anil Yuksel","1","1.44","0.22","70.7","6.9","25","12.2","0","100"
"Karim Hossam","1","0","0","70.6","22.2","53.3","31.4","60","70"
"Krisjanis Stabins","1","0.6","0.4","70.6","13.9","26.7","17.6","0","100"
"Logan Mackenzie","1","0.33","0.44","70.5","16.1","38.5","22.7","33.3","88.9"
"Simon Ede","2","0.56","0","70.5","17.9","35.7","23.2","100","88.9"
"Neal Skupski","1","0.3","0.1","70.5","23.3","33.3","26.2","0","100"
"Miliaan Niesten","1","0.22","0.11","70.4","23.7","43.8","29.6","0","100"
"Benjamin Kittay","2","0.25","0.05","70.3","25.3","28.6","26.3","0","100"
"Tom Fawcett","1","0","0.31","70.3","48.1","36.4","44.6","80","69.2"
"Mashiska Washington","1","0.18","0","70.3","20","31.6","23.4","0","100"
"Marcin Matkowski","1","1","0.1","70.2","17.5","35.3","22.8","0","100"
"Xin-Yuan Yu","3","0.44","0.11","70.1","20","51.1","29.3","25","92.6"
"Arthur Bouquier","1","0.33","0.17","69.7","32.1","39.1","34.2","60","75"
"Jake Delaney","2","0.86","0.09","69.7","22.2","46.5","29.6","18.2","90.9"
"Joao Monteiro","1","0.33","0.2","69.6","32.4","54.8","39.2","60","80"
"Eduardo Ribeiro","1","0.1","0.1","69.5","24.4","50","32.2","25","90"
"Jacob Bradshaw","5","0.37","0.21","69.4","20.4","43.3","27.4","16.7","97.4"
"Henri Kontinen","2","0.22","0.17","69.4","30.7","39.4","33.3","50","88.9"
"Mousa Shanan Zayed","9","0.59","0.27","69.3","15.9","43.4","24.3","50","93.8"
"Mohamed Adnaoui","1","0.88","0.13","69.2","14.8","25","17.9","0","100"
"Vladimir Voltchkov","2","0.5","0.1","69.1","26.3","29.4","27.3","33.3","90"
"Vladyslav Orlov","2","1.15","0.25","68.9","13.7","54.5","26.4","40","90"
"Kai Thompson","1","0.56","0.11","68.8","21.2","33.3","25","25","88.9"
"Andrew Mcleod","1","1","0.25","68.8","24.2","33.3","27.1","0","100"
"Amir Hadad","4","0.49","0.22","68.6","22.3","48.7","30.6","31.6","85.4"
"Patrick Maloney","2","0.53","0.42","68.5","27","51.2","34.6","20","89.5"
"Sascha Gueymard Wayenburg","1","0.29","0.29","68.4","34.3","48.4","38.8","25","85.7"
"Alafia Ayeni","2","0.35","0.25","68.3","24.4","35","27.8","50","90"
"Keivon Tabrizi","1","1","0.22","68.3","34.1","42.1","36.7","16.7","88.9"
"Daniel Smethurst","1","1.38","0.13","68.3","14.3","46.2","24.4","50","87.5"
"Eric Gomes","1","1.13","0.25","68.3","25","38.5","29.3","100","87.5"
"Enrico Becuzzi","1","1.29","0.86","68.3","10.7","61.5","26.8","0","100"
"Hao Zhang","1","0.67","0.33","68.2","6.7","42.9","18.2","0","100"
"Jay Andrijic","2","0.23","0.31","68.2","11.1","47.6","22.7","100","92.3"
"Siyu Liu","2","0.87","0.04","68.2","19.3","34.1","24","28.6","91.3"
"Dayne Kelly","5","0.25","0.06","68.2","33","44.9","36.8","40","80.8"
"Vishal Uppal","1","0.38","0","68.2","20","50","29.5","20","87.5"
"Samir Banerjee","2","0.72","0.22","68.1","24.1","37.8","28.4","0","100"
"Dominic Inglot","2","0.62","0.15","68.1","20.2","43.2","27.5","50","88.5"
"Austin Karosi","1","0.11","0.22","68","23.5","31.3","26","0","100"
"Jonas Forejtek","2","0.26","0.22","67.9","25","38.9","29.5","14.3","91.3"
"Maximilian Neuchrist","3","0.56","0.13","67.9","21.7","40.3","27.7","33.3","89.7"
"Omar Alawadhi","2","0.33","0.27","67.7","32.3","35.5","33.3","40","86.7"
"David Marrero","3","0.59","0.15","67.7","24.8","46.2","31.7","30.8","85.2"
"Jaimee Floyd Angele","1","0.29","0.14","67.6","24","25","24.3","0","100"
"Ravi Raswant","1","1","0.13","67.6","8","25","13.5","0","100"
"Peter Nagy","1","0.71","0.29","67.6","13","27.3","17.6","0","100"
"Niko Karagiannis","1","0.57","0.14","67.6","13","27.3","17.6","0","100"
"Ryan Haviland","3","0.71","0.41","67.6","30.3","49.3","36.4","60","82.4"
"Arthur Weber","4","0.45","0.19","67.5","30.5","49.5","36.6","40.7","76.6"
"Jamie Murray","1","0","0.43","67.5","14.8","53.8","27.5","0","100"
"Rogier Wassen","2","0.69","0.19","67.5","31.5","50","37.5","71.4","68.8"
"Stefan Dostanic","4","0.39","0.31","67.4","28.8","48.1","35.1","33.3","84.3"
"Robert Strombachs","1","0.33","0.07","67.3","30.3","34.4","31.6","33.3","86.7"
"Tetsuya Chaen","1","1","0","67.3","15.2","25","18.4","0","100"
"Edward Winter","9","0.33","0.21","67.2","28.6","38.9","32","27.5","86.3"
"Camilo Andres Erazo","1","0","0.63","67.2","41","36.8","39.7","40","75"
"Scott Puodziunas","1","0.3","0.3","67.2","22","35","26.2","25","90"
"Pedro Clar-Rossello","4","0.18","0.33","67.1","33.6","51.3","39.4","36.8","71.4"
"Diego Hartfield","5","0.6","0.25","67","28.7","56.6","37.9","21.9","80.8"
"Benedikt Dorsch","5","0.52","0.37","66.8","32.1","53.8","39.3","32.3","78.3"
"Felix Mantilla","3","0.52","0.42","66.8","19.2","45.8","28","33.3","91.7"
"Jean-Yves Aubone","3","0.2","0.23","66.7","27","37.7","30.6","27.3","90"
"Sherif Sabry","1","0.08","0.15","66.7","29.6","59.3","39.5","44.4","69.2"
"Sanchai Ratiwatana","1","0.75","0.5","66.7","21.9","37.5","27.1","0","100"
"Denis Matsukevitch","2","0.38","0.19","66.7","24.3","51.4","33.3","33.3","87.5"
"Giulio Zeppieri","31","0.43","0.26","66.5","28.7","50.3","35.9","34.8","80.4"
"Mubarak Shannan Zayid","6","0.34","0.16","66.5","18.1","30.2","22.2","18.8","94"
"Dean O'Brien","3","0.74","0.29","66.5","28.6","40.3","32.5","28.6","87.1"
"Stefano Ianni","3","0.58","0.08","66.5","29.5","39.6","32.9","30","88.5"
"Marc Kimmich","3","0.41","0.37","66.4","19.5","47","28.7","30","92.7"
"Jea Moon Lee","1","0.09","0.36","66.3","28.1","55.2","37.2","16.7","81.8"
"Wesley Koolhof","1","0.82","0.18","66.3","22.6","44.4","30","0","100"
"Ye Cong Mo","1","0.91","0.09","66.2","20.4","44","28.4","0","100"
"Fernando Romboli","2","0.33","0.07","66.2","15.7","30.8","20.8","0","100"
"Valery Rudnev","5","0.34","0.14","66.2","28.6","44.1","33.8","52.6","83.1"
"Marcelo Melo","4","0.22","0.46","66.2","32.4","54.1","39.7","52.4","70.3"
"Filippo Moroni","1","0.5","0","66.1","24.3","36.8","28.6","50","90"
"Santiago Rodriguez Taverna","6","0.65","0.19","66.1","24.4","45.5","31.5","32.1","87"
"Yusuke Watanuki","1","0.67","0.33","66.1","32.4","36.8","33.9","33.3","88.9"
"Jeremy Jahn","2","0.55","0.15","66.1","22","59.5","34.7","20","90"
"Roy Kalmanovich","2","0.42","0.37","66.1","28.2","55","37.3","40","78.9"
"Gary Lugassy","1","0.7","0","66.1","35.9","45","39","42.9","70"
"Tim Puetz","9","0.34","0.23","66","29.7","47.5","35.7","38.2","80.9"
"Alan Mackin","1","0.14","0.14","66","29.7","48.5","36.1","20","85.7"
"Lukas Neumayer","3","0.78","0.37","65.9","25.6","51.6","34.5","41.2","82.9"
"Rashed Nawaf","2","0.38","0.06","65.9","17.9","34.5","23.5","0","100"
"Michael Geerts","2","1.12","0.24","65.9","10","29","16.5","0","100"
"Marc Powers","1","0.5","0.25","65.9","18.5","57.1","31.7","100","87.5"
"Mark Nielsen","3","0.67","0.3","65.9","29.3","33.3","30.7","9.1","96.3"
"Igor Zelenay","2","0.62","0.35","65.9","32.5","43.5","36.3","23.1","88.5"
"Sergio Galdos","2","0","0.29","65.8","38.8","51","43","39.1","62.5"
"Peng Sun","4","0.54","0.16","65.8","28.3","43.9","33.6","27.3","88"
"Blade Fong","1","0.57","0.14","65.7","26.1","8.3","20","0","100"
"Junior A. Ore","2","0.44","0.25","65.7","21.7","52.8","32.4","16.7","93.8"
"Ya-Nan Ma","5","0.46","0.05","65.7","16.4","32.9","22.1","28.6","94.9"
"Justin Boulais","2","0.81","0.19","65.6","20.6","45.5","29.2","11.1","93.8"
