"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Taylor Fritz","7","0.64","0.07","9.14","60.7","78","47","65.8","53.1","81.9"
"Chak Lam Coleman Wong","3","0.58","0.08","7.25","68.3","68.5","56","64.5","76","83.3"
"Hubert Hurkacz","11","0.78","0.11","7.09","63.8","75.9","50.5","66.7","65.5","85.5"
"Christopher Eubanks","4","0.74","0.11","6.73","72.8","74.7","56.5","69.7","61.5","86.8"
"Borna Gojo","11","0.75","0.12","6.25","64.5","75.7","48.4","66","61.4","83.1"
"Jannik Sinner","13","0.31","0.05","6.2","61.4","74.2","59.6","68.6","66.7","88"
"Dominic Stephan Stricker","3","0.65","0.11","5.91","54.2","74.8","51.9","64.3","38.5","78.4"
"Brandon Nakashima","12","0.49","0.09","5.44","64.3","67.2","46.3","59.8","49.4","71.8"
"Arthur Cazaux","11","0.69","0.17","4.06","59.1","75.2","54.8","66.9","67.8","86.8"
"Jakub Mensik","10","0.82","0.21","3.9","59.9","78.4","54.7","68.8","66","88.7"
"Roman Safiullin","3","0.66","0.17","3.88","61.4","71.7","44","61","60","71.4"
"Sebastian Ofner","17","0.66","0.17","3.88","55.7","76.3","53.2","66","64.6","85.5"
"Aleksandar Vukic","8","0.49","0.13","3.77","55","71.8","47.1","60.7","66.2","75.2"
"Nicolas Moreno De Alboran","6","0.3","0.08","3.75","73.2","65.7","63.3","65","66.7","78.8"
"Norbert Gombos","4","0.5","0.14","3.57","58.6","73.9","64.8","70.1","76.5","90.5"
"Bu Yunchaokete","9","0.47","0.14","3.36","55.1","72.5","50","62.4","51","77.5"
"Lloyd George Harris","6","0.67","0.2","3.35","60","70.1","51.7","62.7","68.1","80"
"Andrey Rublev","14","0.52","0.16","3.25","58.9","73.8","48.7","63.5","58.9","77.7"
"Tomas Martin Etcheverry","20","0.44","0.14","3.14","60.3","70.8","50.2","62.6","70.6","79.9"
"Arthur Rinderknech","16","0.59","0.19","3.11","61.6","74.3","44.4","62.8","48.8","77.5"
"Gabriel Diallo","15","0.45","0.15","3","67.8","71.6","56.5","66.8","50","83.2"
"Frances Tiafoe","18","0.42","0.14","3","57.5","73","55.1","65.4","55","79.8"
"Mackenzie McDonald","5","0.41","0.14","2.93","67.9","64.5","54.5","61.3","40.9","74.5"
"Novak Djokovic","12","0.38","0.13","2.92","65.5","75.7","55.8","68.8","57.8","88.3"
"Kamil Majchrzak","14","0.38","0.13","2.92","60","73.1","52","64.6","62.1","79.9"
"Jan-Lennard Struff","12","0.58","0.2","2.9","57.5","74.3","51.3","64.5","60.9","79.5"
"James Trotter","4","0.43","0.15","2.87","64.5","75.8","47.7","65.8","63.6","83"
"Adam Walton","4","0.51","0.18","2.83","62.3","70.3","41.9","59.6","62.8","73.8"
"Andrea Pellegrino","6","0.34","0.12","2.83","67.5","66.7","51","61.6","60","75.7"
"Sebastian Korda","10","0.44","0.16","2.75","61.1","70.2","57.9","65.4","65","82.8"
"Ivan Gakhov","3","0.41","0.15","2.73","66.5","66.3","47.1","59.8","50","71.8"
"Matteo Berrettini","7","0.41","0.15","2.73","68.6","72.3","47","64.3","61.8","82.4"
"Tallon Griekspoor","18","0.57","0.21","2.71","65.4","74.4","52","66.6","62.1","84"
"Jiri Lehecka","10","0.46","0.17","2.71","63.3","67.2","49.2","60.6","62.1","73.2"
"Valentin Royer","5","0.32","0.12","2.67","61.5","72.9","47.4","63.1","45.9","76.2"
"Juan Pablo Ficovich","7","0.24","0.09","2.67","62.2","60.8","53.3","58","61.3","69.6"
"Alexei Popyrin","14","0.55","0.21","2.62","64.5","72.9","49.1","64.5","67","81.5"
"Jesper De Jong","21","0.47","0.18","2.61","58.6","73.3","54.2","65.4","54.5","81.5"
"Hugo Dellien","14","0.18","0.07","2.57","73.4","64.2","52","61","58","75.7"
"Lorenzo Musetti","23","0.23","0.09","2.56","68.3","69.4","54.7","64.7","59.5","82.2"
"Marcos Giron","10","0.39","0.16","2.44","57.4","68.9","49.7","60.7","64.4","75.8"
"Nuno Borges","14","0.44","0.18","2.44","66.4","70.8","48.1","63.1","61.6","79.9"
"Stan Wawrinka","8","0.34","0.14","2.43","56.6","63.2","48.1","56.6","49.3","63.6"
"Clement Tabur","4","0.34","0.14","2.43","67.1","67.5","55.8","63.6","47.8","76"
"Reilly Opelka","8","0.92","0.38","2.42","60","72.4","47.8","62.5","67.9","81.6"
"Dusan Lajovic","17","0.29","0.12","2.42","66.2","65.4","49.9","60.2","56.1","72.5"
"Giulio Zeppieri","10","0.5","0.21","2.38","63.4","69.9","46.3","61.3","64.2","77.1"
"Francisco Comesana","23","0.57","0.24","2.38","61.7","74.1","50.1","64.9","63","82.5"
"Joao Fonseca","12","0.45","0.19","2.37","67.1","70.5","48.4","63.2","58.8","80.8"
"Facundo Bagnis","6","0.42","0.18","2.33","62.6","72","51.4","64.3","70.2","81.1"
"Jerome Kym","8","0.58","0.25","2.32","60.8","76.7","50","66.2","69.4","82.1"
"Kyrian Jacquet","5","0.51","0.22","2.32","56.6","75.5","47.1","63.2","64.9","81.2"
"Titouan Droguet","10","0.3","0.13","2.31","63.1","68.6","52.6","62.7","55.1","75"
"Daniel Altmaier","17","0.46","0.2","2.3","57.2","71.6","46.7","61","62.1","74.9"
"Felipe Meligeni Rodrigues Alves","7","0.39","0.17","2.29","69","68.2","45","61.1","68.4","78.6"
"Valentin Vacherot","7","0.34","0.15","2.27","66.5","68.8","48","61.8","54.8","73.2"
"Giovanni Mpetshi Perricard","8","0.62","0.28","2.21","64.9","71.6","52.2","64.8","64.2","82.4"
