"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Eliot Spizzirri","3","0.64","0.17","70.2","30.6","46.8","35.5","55.6","76.2"
"George Loffhagen","4","0.54","0.22","70.1","31.5","42.7","34.9","30.3","81.5"
"Stefanos Tsitsipas","3","0.68","0.08","70","20","35.5","24.6","25","94.6"
"Lukas Klein","3","0.69","0.26","69.2","28.7","52.9","36.1","35.3","82.9"
"Martin Landaluce","3","0.46","0.1","69.2","30.2","46.4","35.2","23.8","87.8"
"Hamish Stewart","3","0.6","0.15","68.6","19.7","43","27","20","93.6"
"Brandon Holt","5","0.59","0.14","68.3","26.4","46.3","32.7","52.2","81.8"
"Dusan Lajovic","4","0.55","0.23","68.2","30.8","50.4","37","38.7","78.6"
"Yoshihito Nishioka","3","1.4","0.31","67.7","11.2","54.7","25.3","25","97.1"
"Holger Vitus Nodskov Rune","4","0.69","0.21","67.7","23.8","43.8","30.3","50","83.9"
"Alexander Zverev","9","0.76","0.2","67.4","26.3","46.8","33","27.7","89.3"
"Kamil Majchrzak","5","0.88","0.19","67.4","25.5","55.3","35.2","39.5","80.5"
"Luka Pavlovic","3","0.54","0.25","67.3","23.6","46.7","31.2","25","91.7"
"Nuno Borges","8","0.37","0.3","67.2","29.4","48","35.5","40.4","80.8"
"Nikoloz Basilashvili","8","0.66","0.15","67.1","29.3","44.7","34.4","45.3","80.5"
"Lorenzo Sonego","9","0.44","0.24","66.9","26.6","47","33.3","42.3","84.5"
"Titouan Droguet","3","0.5","0.16","66.8","30.3","46.8","35.8","38.9","81.6"
"Daniil Medvedev","8","0.6","0.12","66.8","24.8","45.8","31.8","28.6","85.9"
"Tristan Boyer","3","0.66","0.22","66.8","24.9","44","31.2","18.2","90.2"
"James McCabe","5","0.33","0.36","66.7","30.8","45","35.5","31","81.4"
"Fabian Marozsan","5","0.38","0.28","66.7","27.7","48.2","34.5","33.3","85"
"Nicolas Jarry","11","0.42","0.27","66.6","27.7","48.1","34.6","36.6","84.1"
