"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Juan Pablo Ficovich","3","0.37","0.03","12.33","72","68.9","53.8","64.7","55.6","78.9"
"Brandon Nakashima","9","0.69","0.07","9.86","70.3","76.3","60.1","71.5","73.9","92.1"
"Eliot Spizzirri","3","0.43","0.05","8.6","71.1","66.8","50.6","62.1","63.3","73.8"
"Marin Cilic","4","0.9","0.11","8.18","61.2","75.3","54.8","67.3","70.4","88.9"
"Taylor Fritz","15","0.97","0.12","8.08","65.3","81.1","60.5","74","63.3","92.3"
"Alexander Zverev","9","0.8","0.12","6.67","76.3","77.5","53","71.7","76.3","92.6"
"Brandon Holt","5","0.53","0.08","6.63","62.1","74.4","48.7","64.6","55.9","77.3"
"Valentin Royer","5","0.57","0.09","6.33","67.9","73.8","56.7","68.3","84.6","94.2"
"Nuno Borges","8","0.6","0.1","6","69.4","73.7","52.8","67.3","67.7","83.3"
"Christopher O'Connell","6","0.72","0.12","6","59.6","73.2","48.9","63.4","68.6","76.1"
"Novak Djokovic","6","0.83","0.14","5.93","69.5","77.9","50.3","69.5","62.2","85.4"
"Benjamin Bonzi","7","0.47","0.08","5.88","68.2","70.8","55.5","66","68.1","85.1"
"Jordan Thompson","7","0.73","0.13","5.62","59.8","74.4","55","66.6","72.9","87.5"
"Yannick Hanfmann","8","0.54","0.1","5.4","67.8","71.1","64.7","69.1","59.3","86.1"
"Jack Draper","6","0.91","0.17","5.35","64.3","81.1","51.5","70.5","74.1","91.4"
"Gabriel Diallo","12","0.88","0.17","5.18","67.5","76.8","55","69.7","75.9","90.9"
"Adrian Mannarino","10","0.55","0.11","5","62.7","76.1","53.8","67.8","75","89.7"
"Jannik Sinner","9","0.64","0.13","4.92","63.6","80.2","60.3","72.9","74.2","93.5"
"Jiri Lehecka","10","0.85","0.18","4.72","61.6","80.7","56.7","71.5","53.8","90.4"
