"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Calvin Hemery","6","0.41","0.23","72.1","25.9","54.8","34","48.3","81.3"
"Andrea Collarini","3","0.41","0.24","70.2","34.1","52.1","39.5","35","79.4"
"Lorenzo Sonego","6","0.24","0.17","69.3","30.9","45","35.2","34.2","83.3"
"Dalibor Svrcina","4","0.03","0.16","69.1","33.7","54.5","40.2","40","73"
"Chak Lam Coleman Wong","3","0.37","0.05","68.9","23.2","35.1","26.9","20","97.4"
"Gael Monfils","6","0.22","0.13","68.8","34.6","49.1","39.1","35.5","74.4"
"Titouan Droguet","10","0.13","0.21","68.5","38.1","45.5","40.4","50.6","66.9"
"Radu Albot","7","0.3","0.13","68.5","35.4","47.6","39.3","31.8","73.8"
"Fabio Fognini","7","0.32","0.19","68.5","28.9","51.9","36.1","39.5","78.3"
"Karue Sell","4","0.36","0.28","68.4","25.9","45.1","31.9","56.3","82"
"Pablo Llamas Ruiz","11","0.19","0.21","67.8","37.8","57.5","44.1","48.9","64.1"
"Alvaro Guillen Meza","5","0.1","0.17","67.7","41.9","47","43.5","46.5","61.5"
"Eliot Spizzirri","3","0.41","0.24","67.4","28.4","49.3","35.2","22.2","88.2"
"Grigor Dimitrov","9","0.32","0.25","67.4","34.7","52.1","40.4","46.7","72.3"
"Ben Shelton","12","0.26","0.2","67","29.9","44.1","34.6","48.3","82.3"
"Andrej Martin","3","0.27","0.15","66.9","23.1","42.2","29.4","75","88.5"
"Nishesh Basavareddy","5","0.29","0.08","66.9","28.9","44.6","34.1","50","84.3"
"Jiri Lehecka","10","0.24","0.11","66.8","35.6","48.3","39.8","50.7","69.6"
"Mattia Bellucci","9","0.36","0.19","66.6","30.1","45.2","35.2","29.1","84"
"Matteo Martineau","3","0.24","0.27","66.5","25.8","48.7","33.5","50","86.5"
"Henri Squire","3","0.23","0.2","66.5","28.1","57.1","37.8","41.7","71.4"
"Mackenzie McDonald","5","0.49","0.11","66.4","22.2","44","29.5","35","86.8"
