"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Dane Sweeny","3","1","0.31","71.9","34","60.7","41.5","64.7","68.6"
"Jozef Kovalik","3","0.53","0.13","70.2","30.1","41.9","33.7","21.1","87.5"
"Stefan Dostanic","3","0.47","0.35","68.3","29.7","50.6","36.3","33.3","81.4"
"Titouan Droguet","3","0.11","0.18","67.5","22.1","40","27.9","40","85.7"
"Valentin Vacherot","12","0.57","0.18","67.3","27.6","49.8","34.9","37.8","80.7"
"Hugo Grenier","3","0.17","0.37","67.2","37.7","57.7","44.3","44.4","61"
"Camilo Ugo Carabelli","15","0.58","0.13","67.1","26.3","42.8","31.7","43.1","84"
"Giulio Zeppieri","10","0.38","0.28","66.9","31.5","48.6","37.2","36.8","79.8"
"Grigor Dimitrov","12","0.56","0.15","66.9","25.2","48.6","32.9","27.9","85"
"Matteo Berrettini","16","0.52","0.19","66.8","24.9","45.7","31.8","36.5","85.6"
"Lloyd George Harris","11","0.43","0.16","66.5","29.4","45.3","34.8","39.2","80.7"
"Otto Virtanen","8","0.42","0.2","66.4","26.2","52.4","35","55.6","78"
"Juan Manuel Cerundolo","9","0.27","0.26","66.4","28.7","53.4","37","29.5","82.5"
"Andres Martin","3","0.45","0.17","66.3","34.8","53.7","41.2","32","72.4"
"Nick Kyrgios","4","0.66","0.22","66.3","23.6","40.2","29.2","31.3","87.8"
"Nikoloz Basilashvili","18","0.73","0.17","65.9","28.5","50.4","36","41.9","79.6"
"Harold Mayot","4","0.51","0.21","64.9","30","48.2","36.4","36","80.9"
"Giovanni Mpetshi Perricard","26","0.59","0.18","64.5","22.2","34.6","26.6","31.9","91"
"Kyrian Jacquet","4","0.56","0.34","64.4","24.2","47.6","32.5","42.1","84"
"Laslo Djere","4","0.3","0.15","64.3","28.6","48.5","35.7","27.8","87.5"
"Brandon Holt","10","0.67","0.24","64.3","27.2","51.8","36","41.7","79.8"
"Zhizhen Zhang","7","0.6","0.19","64.3","23.3","45.7","31.3","29.4","88.1"
"Alejandro Tabilo","25","0.82","0.21","64.3","27.9","47.8","35","36.1","82.3"
"Marco Trungelliti","5","0.4","0.35","64","30.1","50","37.3","31.6","81"
"Martin Damm Jr","6","0.48","0.14","64","26.6","41.1","31.8","43.3","84"
"Yi Zhou","6","0.52","0.18","63.8","25.1","53","35.2","41.9","83.5"
"Daniil Medvedev","35","0.27","0.22","63.8","33.7","53.4","40.8","36.3","71.8"
"Sebastian Baez","13","0.48","0.27","63.8","32.9","52.8","40.1","49.5","69.6"
"Arthur Rinderknech","25","0.44","0.21","63.7","25.8","45.6","33","43.8","82.9"
