"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Daniil Medvedev","35","0.73","0.36","2.03","61.7","76.7","50","66.5","62.6","83.5"
"Brandon Nakashima","34","0.74","0.09","8.22","64.9","75.6","51.9","67.3","67","85.8"
"Taylor Fritz","33","0.89","0.16","5.56","63.8","79.7","53","70.1","69.9","89.5"
"Aleksandar Vukic","33","0.74","0.18","4.11","57.3","74","52.9","64.9","62","82.2"
"Learner Tien","33","0.29","0.35","0.83","61","67.7","52.7","61.8","61.4","77"
"Alejandro Davidovich Fokina","32","0.34","0.19","1.79","65.6","69","52.1","63.2","63.5","79.5"
"Alex De Minaur","32","0.39","0.22","1.77","56.6","73.7","57.1","66.5","65.1","86"
"Adam Walton","31","0.51","0.19","2.68","61.7","71.9","51.2","64","59.9","79.8"
"Quentin Halys","30","0.84","0.3","2.8","60.9","77","49.6","66.3","64.2","83.2"
"Andrey Rublev","30","0.65","0.25","2.6","60.5","78.3","50.2","67.2","60.6","84.8"
"Christopher O'Connell","28","0.63","0.14","4.5","61.5","69.6","51.7","62.7","62.1","80"
"Lorenzo Musetti","28","0.43","0.18","2.39","64.1","72.8","56.3","66.9","62.9","84.2"
"Ben Shelton","27","0.86","0.23","3.74","64.2","76","54","68.1","69.1","87.7"
"Gabriel Diallo","27","0.69","0.25","2.76","65.9","74.5","48.1","65.5","54.2","81.9"
"Marcos Giron","27","0.41","0.15","2.73","61","72.3","50.9","64","64.2","81.3"
"Carlos Alcaraz","27","0.52","0.23","2.26","63.5","76.7","57.9","69.9","60.9","89"
"Giovanni Mpetshi Perricard","26","1.09","0.27","4.04","67.7","78.7","53.8","70.6","68.4","88.8"
"Adrian Mannarino","26","0.43","0.15","2.87","57.1","73.3","53","64.6","63.8","81.5"
"Ethan Quinn","26","0.66","0.23","2.87","61","73.8","51.1","64.9","63.5","82.1"
"Felix Auger-Aliassime","26","0.73","0.29","2.52","67","75.8","51.3","67.7","69.2","85.2"
"Alejandro Tabilo","25","0.6","0.11","5.45","68.8","74.1","51.8","67.1","66.1","86.7"
"Jiri Lehecka","25","0.59","0.2","2.95","60.7","76.4","52.9","67.2","59.1","86"
"Arthur Rinderknech","25","0.79","0.28","2.82","63.7","74.2","50.9","65.8","74.6","86"
"Holger Vitus Nodskov Rune","25","0.49","0.24","2.04","62.4","74","53.5","66.3","59.1","83.7"
"Alexander Zverev","24","0.63","0.17","3.71","71.5","73.3","52.9","67.4","62.1","87.6"
"Bu Yunchaokete","24","0.55","0.18","3.06","55.8","74.5","49.3","63.4","64.6","81.3"
"Aleksandar Kovacevic","24","0.8","0.31","2.58","60.3","76.2","50.3","65.9","56.1","83.9"
"Fabian Marozsan","24","0.44","0.19","2.32","63.5","72.4","51.8","64.9","62.2","82.9"
