"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Anton Shepp","1","1.1","0.1","11","60","64.3","42.9","55.7","60","60"
"Kenta Miyoshi","1","1.11","0.11","10.09","43.6","79.2","38.7","56.4","40","66.7"
"Jean-Yves Aubone","3","0.37","0.04","9.25","65.9","63.9","58.9","62.2","60","77.8"
"Liam Caruana","3","0.52","0.06","8.67","55.4","81.6","49.4","67.2","40","80.6"
"Leonardo Kirche","2","0.64","0.08","8","66.9","71.8","54.9","66.2","50","88"
"Keegan Smith","3","0.71","0.09","7.89","79.2","72","48.8","67.1","54.5","85.3"
"John Isner","452","1.32","0.17","7.76","68.3","79.1","56","71.7","69.5","91.6"
"Joao Monteiro","1","0.53","0.07","7.57","68.1","62.5","60","61.7","50","66.7"
"Brandon Walkin","1","0.53","0.07","7.57","71.7","64.2","53.1","61.1","85.7","80"
"Shintaro Imai","1","0.88","0.12","7.33","54.7","78.1","54.7","67.5","80","88.2"
"Andy Roddick","294","0.97","0.14","6.93","66","79.8","56.4","71.9","68.3","90.7"
"Thomas Fancutt","3","1.86","0.31","6","54.3","65.3","51.8","59.1","59.1","69"
"Jay Andrijic","2","0.4","0.07","5.71","58.5","64.5","43.2","55.7","68.8","66.7"
"Ivo Karlovic","322","1.44","0.26","5.54","64.6","82.6","52.5","72","71.9","91.6"
"Naoki Nakagawa","2","0.22","0.04","5.5","58.9","61.5","44.8","54.6","60.9","60.9"
"Andy Ram","1","0.65","0.12","5.42","55","76.4","51.1","65","60","76.5"
"Matteo Berrettini","128","0.79","0.15","5.27","63.8","77.3","52.2","68.2","68.7","87"
"Uros Vico","2","0.84","0.16","5.25","58.3","68.4","52.9","61.9","64.3","80"
"Thiemo de Bakker","96","0.73","0.14","5.21","59.7","73.9","51.3","64.8","61.5","81"
"Reilly Opelka","155","1.35","0.26","5.19","62.7","80.2","54.7","70.7","70.7","90.7"
"Ivan Ljubicic","165","0.93","0.18","5.17","58.9","77.6","52.6","67.3","66.2","86.1"
"Brandon Nakashima","154","0.67","0.13","5.15","63.6","75.1","54.3","67.6","64.2","85.2"
"Brandon Holt","43","0.46","0.09","5.11","64.5","67","50.2","61.1","59.4","75.3"
"Toby Alex Kodat","1","0.56","0.11","5.09","61.5","68.8","35","55.8","42.9","55.6"
"William Blumberg","1","0.56","0.11","5.09","49.1","64.3","44.8","54.4","42.9","55.6"
"Ricardo Rodriguez-Pace","1","0.5","0.1","5","60.3","63.8","45.2","56.4","62.5","70"
"Elliot Benchetrit","9","0.68","0.14","4.86","57.3","68.1","51.3","60.9","56.7","75"
"Jean-Claude Scherrer","5","0.91","0.19","4.79","69.7","80.2","49.5","70.9","68.8","90.7"
"Chris Guccione","85","1.08","0.23","4.7","59.9","79.3","52.7","68.6","69.6","87.8"
