"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Aidan Mayo","3","0.6","0.13","72.3","27.1","39.2","30.4","22.2","93.3"
"Dane Sweeny","3","1","0.31","71.9","34","60.7","41.5","64.7","68.6"
"Ryan Seggerman","4","0.28","0.11","71.8","26","40.7","30.1","38.5","86.1"
"Dan Added","3","0.97","0.19","70.2","20.5","41.1","26.6","33.3","93.8"
"Calvin Hemery","11","0.53","0.26","69.4","21.8","50","30.4","41","87.2"
"Arthur Bouquier","5","0.29","0.15","69.3","29.1","37.1","31.6","42.9","84.7"
"Marko Topo","5","0.54","0.13","69.1","27.4","45.7","33.1","38.5","85.5"
"Hamish Stewart","3","0.6","0.15","68.6","19.7","43","27","20","93.6"
"Stefan Dostanic","3","0.47","0.35","68.3","29.7","50.6","36.3","33.3","81.4"
"Alvaro Guillen Meza","6","0.11","0.17","68.3","39.3","49.7","42.6","40","63.6"
"Andrea Collarini","6","0.41","0.18","68.1","31.6","53.8","38.7","33.3","78.8"
"Gilles Arnaud Bailly","4","0.98","0.3","67.8","23.2","54.3","33.2","38.9","84.8"
"Karue Sell","5","0.37","0.24","67.6","25.3","44.5","31.6","52.6","83.1"
"Henri Squire","4","0.37","0.17","67.4","25.8","59.5","36.8","40.7","73.2"
"Jozef Kovalik","8","0.6","0.12","67.2","29.2","43.9","34","24.2","83.8"
"George Loffhagen","5","0.6","0.23","67.1","29.5","40.6","33.2","30.3","84.6"
"Matteo Martineau","4","0.27","0.23","67","22.5","45.7","30.2","45.5","89.6"
"Andrej Martin","3","0.27","0.15","66.9","23.1","42.2","29.4","75","88.5"
"Murkel Dellien","3","0.1","0.37","66.8","25.5","52.9","34.6","21.4","90"
"Yasutaka Uchiyama","12","0.36","0.2","66.4","26.7","41.9","31.8","30.9","87.4"
"Andres Martin","3","0.45","0.17","66.3","34.8","53.7","41.2","32","72.4"
"Nick Kyrgios","4","0.66","0.22","66.3","23.6","40.2","29.2","31.3","87.8"
"Pablo Llamas Ruiz","16","0.26","0.25","66.2","36.1","51.9","41.5","43.9","69.8"
"Brandon Holt","20","0.6","0.2","65.9","26.9","50.5","34.9","40.4","81.8"
"Mees Rottgering","3","0.41","0.28","65.8","30","55.1","38.6","23.1","81.3"
"Grigor Dimitrov","26","0.44","0.21","65.8","30.2","50.5","37.1","39.8","78.1"
"Radu Albot","11","0.34","0.16","65.7","33.8","50.2","39.4","32.7","75.8"
"Matteo Berrettini","33","0.47","0.2","65.7","26.7","44.4","32.8","40.8","84.7"
"Titouan Droguet","20","0.24","0.19","65.4","32.7","43.5","36.4","43.8","76.4"
"Felipe Meligeni Rodrigues Alves","9","0.68","0.23","65.4","31.3","50.4","37.9","33.3","78.1"
"Francesco Maestrelli","3","0.35","0.12","65.4","26.9","40.8","31.7","36.4","88.2"
"Camilo Ugo Carabelli","51","0.46","0.16","65.3","29.7","48.7","36.3","40.6","78.8"
"Ben Shelton","59","0.39","0.18","65.1","26.7","46.5","33.6","41.8","82.9"
"Michael Mmoh","18","0.51","0.15","65.1","31.2","53.3","38.9","41.3","74"
"Duje Ajdukovic","4","0.51","0.23","65.1","28.1","41.5","32.8","27.8","90.6"
"Vilius Gaubas","15","0.25","0.23","65.1","33.3","54.7","40.8","50","71.2"
"Diego Dedura-Palomero","6","0.4","0.25","64.9","28.4","50","36","37.5","83.6"
"Giovanni Mpetshi Perricard","45","0.58","0.17","64.9","21.6","33.8","25.9","33.1","91.9"
"Yuta Shimizu","6","0.4","0.22","64.8","29.3","51.5","37.1","48.5","78.1"
"Alex Bolt","9","0.53","0.24","64.8","29","47.5","35.5","39.3","81"
