"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Yi Zhou","6","0.79","0.08","9.88","66.4","70.9","49.2","63.6","69.4","81.3"
"Brandon Nakashima","62","0.69","0.08","8.63","66.1","74.2","52.2","66.7","64","84.6"
"Hubert Hurkacz","19","0.86","0.11","7.82","62.8","77.2","51.5","67.6","69.1","87"
"Bernard Tomic","17","0.54","0.07","7.71","65.8","71.1","53.9","65.2","64.9","83"
"Matteo Berrettini","33","0.81","0.12","6.75","67.9","75.9","53.9","68.9","66.5","86.5"
"Brandon Holt","20","0.45","0.07","6.43","66","67.9","50.7","62","56.5","75"
"Taylor Fritz","64","0.91","0.15","6.07","63.8","79.5","53.8","70.2","67.3","89.2"
"Marc-Andrea Huesler","12","0.85","0.14","6.07","60.7","74.8","52.4","66","59.5","79.5"
"Jan Choinski","6","0.37","0.07","5.29","67.8","69","54.3","64.3","57.6","80"
"Garrett Johns","3","0.52","0.1","5.2","52.8","74.8","56.3","66.1","66.7","87.1"
"Borna Gojo","14","0.77","0.16","4.81","64.7","75.9","47.5","65.9","58","82.5"
"Eliot Spizzirri","32","0.43","0.09","4.78","69.9","70.3","51.6","64.7","56.3","78.1"
"Jannik Sinner","57","0.52","0.11","4.73","62.3","79.2","58.5","71.4","71.6","91.5"
"Yannick Hanfmann","49","0.52","0.11","4.73","67.5","71.3","57.3","66.7","56.2","83.1"
"Chak Lam Coleman Wong","26","0.71","0.15","4.73","62.2","72.4","51.4","64.5","61.9","80.4"
"Lloyd George Harris","19","0.98","0.21","4.67","60.8","74.8","52","65.8","65.6","83.5"
"Jordan Thompson","23","0.6","0.13","4.62","60.4","71.4","54.8","64.8","63","80.7"
"Nick Kyrgios","4","0.82","0.18","4.56","66","72","43.4","62.3","33.3","74.4"
"Tomas Martin Etcheverry","51","0.58","0.13","4.46","62.9","72","50.2","63.9","65.9","79.9"
"Oliver Tarvet","5","0.44","0.1","4.4","58.6","75.7","53.9","66.7","66.7","83.9"
"Kamil Majchrzak","44","0.51","0.12","4.25","61.8","73.2","52.7","65.4","63.8","82.5"
"Titouan Droguet","20","0.59","0.14","4.21","61.8","73.9","51.1","65.2","56.4","79.5"
"Arthur Cazaux","41","0.71","0.17","4.18","60.8","76","49.8","65.7","64.3","84.2"
"Dominic Stephan Stricker","7","0.62","0.15","4.13","58.7","74.6","47.6","63.5","50","76.2"
"Reilly Opelka","52","1.28","0.31","4.13","62.7","78.5","52.2","68.7","71.7","88.6"
"Mikhail Kukushkin","17","0.28","0.07","4","67.5","65.9","50.7","61","58.1","71.9"
"Aleksandar Vukic","59","0.68","0.17","4","57.8","73.4","51.5","64.2","62.9","81.1"
"Novak Djokovic","41","0.59","0.15","3.93","67.1","77.2","54.5","69.7","61.6","88"
"Christopher O'Connell","44","0.58","0.15","3.87","60.5","67.2","49.7","60.3","64.3","77.3"
"Dan Added","3","0.72","0.19","3.79","62.4","71.4","42.1","60.4","61.5","68.8"
"Nicolas Moreno De Alboran","6","0.3","0.08","3.75","73.2","65.7","63.3","65","66.7","78.8"
"Sebastian Korda","41","0.71","0.19","3.74","59.9","74.2","54.3","66.2","62.5","83.8"
"Giovanni Mpetshi Perricard","45","1.08","0.29","3.72","68","77.8","52.4","69.6","68.8","88"
"Henry Searle","4","0.66","0.18","3.67","61","69.4","50.7","62.1","48.1","75"
"Alexander Zverev","69","0.58","0.16","3.63","72.1","73.7","53.6","68.1","61","86.5"
"Christopher Eubanks","19","0.69","0.19","3.63","70.6","73.5","50.6","66.8","66","84.8"
"Rei Sakamoto","13","0.69","0.19","3.63","63.9","73.9","53.3","66.5","56.7","82.7"
"Alex Bolt","9","0.47","0.13","3.62","66.3","71.2","57","66.4","63","83.5"
"Stan Wawrinka","18","0.54","0.15","3.6","56.7","70.1","48.9","60.9","54.2","74"
"Moez Echargui","3","0.61","0.17","3.59","66","67.3","54.5","63","80.6","82.9"
"Norbert Gombos","4","0.5","0.14","3.57","58.6","73.9","64.8","70.1","76.5","90.5"
"Jiri Lehecka","53","0.63","0.18","3.5","62.4","75.2","53.1","66.9","59.1","84.4"
"Jakub Mensik","42","1.04","0.3","3.47","59.1","78","49.2","66.2","66.9","84.9"
"Felix Auger-Aliassime","66","0.82","0.24","3.42","66.9","77","52.6","68.9","67.6","86.6"
"Gabriel Diallo","59","0.68","0.2","3.4","67.3","74.2","51.5","66.8","59.9","84.5"
"Bu Yunchaokete","40","0.54","0.16","3.38","56.6","73.7","49.6","63.2","62.4","80.6"
"Alejandro Tabilo","37","0.5","0.15","3.33","66.1","71.4","51.1","64.5","65.5","82.8"
"Nicolas Jarry","28","0.86","0.26","3.31","63.7","75.7","53.8","67.7","70.3","86.3"
"Martin Damm Jr","6","1.07","0.33","3.24","63.3","79.3","51.3","69","67.6","86.7"
"Billy Harris","32","0.42","0.13","3.23","64.4","68.4","52.7","62.8","60","78.4"
"Zachary Svajda","20","0.64","0.2","3.2","55.8","71.7","55.2","64.4","58.3","79.5"
"Ben Shelton","59","0.76","0.24","3.17","64.3","75.3","53.9","67.6","66.1","86.5"
"Valentin Vacherot","25","0.63","0.2","3.15","66.6","72.8","53.3","66.3","64.9","84"
"Jack Draper","35","0.63","0.2","3.15","63.4","77","55","68.9","64.7","87.5"
"Marcos Giron","50","0.44","0.14","3.14","61","71.2","51.1","63.4","62.8","80"
"Frances Tiafoe","45","0.59","0.19","3.11","56.1","73.9","51.9","64.2","59.7","78.9"
"Tyler Zink","4","0.68","0.22","3.09","61.6","72.6","48.4","63.3","52.2","81.7"
"Jerome Kym","15","0.74","0.24","3.08","60.6","76.9","51.1","66.7","66.3","83.9"
"Valentin Royer","46","0.52","0.17","3.06","63.2","73.3","53.7","66.1","65.4","84.2"
"James McCabe","12","0.58","0.19","3.05","59.7","71.9","43.9","60.6","51.2","73.7"
"Alexei Popyrin","40","0.73","0.24","3.04","62.3","74.7","48.7","64.9","65.4","81.3"
"Beibit Zhukayev","16","1.05","0.35","3","62.5","78.6","46.3","66.5","63.4","82.1"
"Adrian Mannarino","48","0.42","0.14","3","59.8","71.8","52.1","63.9","62.9","80.3"
"Marin Cilic","26","0.66","0.22","3","57.5","76.4","51.2","65.7","62.4","84.3"
"Henry Bernet","5","0.63","0.21","3","63.9","74.7","55.3","67.7","74.2","88.2"
"Karen Khachanov","53","0.5","0.17","2.94","63","73.9","52.1","65.8","63","82.4"
"Giulio Zeppieri","27","0.7","0.24","2.92","61.8","74","50.4","65","65.2","82.3"
"Sebastian Ofner","30","0.7","0.24","2.92","53.9","77.8","52.4","66.1","63.4","84.6"
"Daniel Rincon","4","0.26","0.09","2.89","55.1","73.2","44.5","60.4","53.8","72.1"
"Arthur Rinderknech","59","0.75","0.26","2.88","63.1","75.1","49","65.4","67.5","84"
"Casper Ruud","49","0.49","0.17","2.88","66","73.3","52.8","66.3","66.2","84.2"
"Joao Fonseca","36","0.49","0.17","2.88","66.8","72.3","51.8","65.5","61.8","83.3"
"Adam Walton","46","0.54","0.19","2.84","62.3","71.6","50.1","63.5","61.6","79.2"
"Alexander Blockx","22","0.48","0.17","2.82","62.9","72.9","51.8","65.1","67","84.6"
"Andrey Rublev","60","0.62","0.22","2.82","60.1","77.2","51.1","66.8","62.7","83.7"
"Daniel Altmaier","56","0.59","0.21","2.81","59.4","71.8","47.6","62","60.5","77.5"
"Ugo Humbert","42","0.56","0.2","2.8","60.8","74","54.5","66.3","65.1","83.6"
"August Holmgren","13","0.81","0.29","2.79","62.1","78.8","51.2","68.3","70.5","88.5"
"Stefano Napolitano","7","0.39","0.14","2.79","61.9","61.5","48.5","56.6","55.2","66.2"
"Quentin Halys","51","0.86","0.31","2.77","59.6","76.8","49.7","65.9","61.4","82.6"
"Hamad Medjedovic","42","0.69","0.25","2.76","64.6","73.5","50.2","65.3","62.4","82.8"
"Nuno Borges","53","0.47","0.17","2.76","66.7","72","49.1","64.3","63.9","81.3"
"Emilio Nava","24","0.77","0.28","2.75","62.8","75","49.6","65.6","68.2","83.7"
"Zhizhen Zhang","11","0.66","0.24","2.75","65.4","72.1","52.3","65.3","70.7","82.9"
"Ivan Gakhov","3","0.41","0.15","2.73","66.5","66.3","47.1","59.8","50","71.8"
"James Duckworth","43","0.6","0.22","2.73","57.3","74.9","53.9","65.9","60","82"
"George Loffhagen","5","0.79","0.29","2.72","60.4","77.4","52.2","67.4","59.3","83.3"
"Vitaliy Sachko","14","0.38","0.14","2.71","64","67.7","48.3","60.7","60.7","73.2"
