"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Elena Rybakina","12","0.55","0.18","3.06","58","72.5","51.2","63.6","62.5","81.3"
"Magda Linette","7","0.33","0.13","2.54","57.2","62.6","51.4","57.8","63.5","69.7"
"Sorana Cirstea","5","0.25","0.12","2.08","61.8","70.4","53.9","64.1","45.5","76.9"
"Yue Yuan","4","0.04","0.02","2","70.6","54.2","45.6","51.6","42.9","52.9"
"Anna Bondar","24","0.3","0.16","1.88","60.1","64.1","51.5","59.1","60.2","71.1"
"Ann Li","13","0.39","0.21","1.86","59.6","60.7","44.4","54.1","56.7","60.7"
"Madison Keys","13","0.32","0.18","1.78","65.9","66.9","49.5","61","60.9","74.6"
"Jamie Loeb","3","0.32","0.18","1.78","63.6","62.6","42.9","55.4","54.2","67.6"
"Jessika Ponchet","7","0.4","0.23","1.74","52.9","67.8","39","54.3","34.9","60"
"Daria Lodikova","3","0.13","0.09","1.44","75.2","55.1","43.1","52.1","50","53.1"
"Magdalena Frech","9","0.25","0.18","1.39","56.9","61","44.9","54.1","47.7","56.7"
"Astra Sharma","13","0.31","0.23","1.35","60.2","63.6","42.9","55.4","56.8","63.4"
"Dalma Galfi","25","0.42","0.31","1.35","61.1","69.7","49","61.7","64.2","77"
"Aryna Sabalenka","20","0.33","0.25","1.32","61.3","66.3","49.5","59.8","65","73.7"
"Elvina Kalieva","6","0.47","0.36","1.31","59.5","61.8","43.2","54.2","50","61.8"
"Veronika Kudermetova","14","0.35","0.27","1.3","59.4","66.4","45.9","58.1","47.8","66.2"
"Rebecca Sramkova","6","0.27","0.21","1.29","59.9","61.5","44.4","54.6","59.6","62.5"
"Naomi Osaka","11","0.51","0.4","1.28","55.2","75.7","45.5","62.2","60.3","76.9"
"Ekaterina Alexandrova","18","0.43","0.35","1.23","62.4","68.7","47.9","60.9","54","73.4"
"Elina Svitolina","19","0.29","0.24","1.21","60","66.1","48.8","59.1","64.7","74.6"
"Lulu Sun","8","0.47","0.4","1.18","53.8","68","44","57","58","65.1"
"Nastasja Schunk","4","0.35","0.3","1.17","63.4","62.6","41.7","54.9","60.5","60.5"
"Bernarda Pera","13","0.42","0.39","1.08","64","65.8","43.3","57.7","55.3","70.4"
"Lola Radivojevic","31","0.32","0.3","1.07","51.5","68.1","48.2","58.4","57.4","69.6"
"Varvara Lepchenko","34","0.23","0.22","1.05","65.4","59","46.5","54.7","49.3","60.6"
"Tatjana Maria","10","0.26","0.26","1","54","63.1","44.8","54.7","50.6","60.9"
"Camilla Rosatello","9","0.29","0.29","1","52.8","64.7","51.7","58.5","64.9","69.4"
"Liudmila Samsonova","13","0.16","0.16","1","64.8","68.3","48.4","61.3","63.7","73.6"
"Ipek Oz","3","0.03","0.03","1","74.4","56.3","48.6","54.3","61.5","61.5"
"Jasmine Paolini","16","0.1","0.1","1","71.6","59.7","53.2","57.8","50.5","68.7"
"Ylena In-Albon","3","0.25","0.25","1","68.6","60.5","39.2","53.8","38.5","60"
"Katrina Scott","5","0.05","0.05","1","82.8","53.1","52.7","53","51.8","56.5"
"Robin Montgomery","5","0.45","0.47","0.96","69","63.4","43.3","57.1","52.8","67.9"
"Danielle Collins","11","0.45","0.47","0.96","55.8","68.1","49","59.6","60.5","72.4"
"Hailey Baptiste","17","0.37","0.39","0.95","55.7","68.7","48.4","59.7","55.1","73.8"
"Victoria Azarenka","5","0.31","0.33","0.94","66","64","40.6","56","56.4","62.2"
"Rebeka Masarova","18","0.42","0.46","0.91","53.3","71.3","46.2","59.6","60.3","73.8"
"Polona Hercog","12","0.21","0.23","0.91","63.5","69.5","48.7","61.9","58.8","73.3"
"Qinwen Zheng","14","0.35","0.39","0.9","53.7","68.9","44.1","57.5","53.1","68.9"
"Gergana Topalova","3","0.28","0.31","0.9","60.4","55.6","35.4","47.6","56.8","40.6"
"Anastasia Tikhonova","3","0.32","0.36","0.89","59.6","65.2","40.8","55.3","54.2","60.7"
"Emma Raducanu","10","0.2","0.23","0.87","61","63.8","44.1","56.1","56","64"
"Petra Martic","7","0.26","0.3","0.87","60.8","62.8","42.2","54.8","54.9","60.5"
"Priscilla Hon","5","0.26","0.3","0.87","64.2","56.2","43.7","51.7","52.8","52.8"
"Panna Udvardy","43","0.24","0.28","0.86","53.2","65.9","47.8","57.4","57.3","68"
"Lois Boisson","16","0.3","0.35","0.86","61.2","68.2","42.8","58.4","58.3","69.8"
"Bianca Andreescu","10","0.19","0.22","0.86","68.9","63.6","49","59.1","64.6","71.4"
"Ana Bogdan","8","0.16","0.19","0.84","61.3","58.9","42.1","52.4","45.5","56.6"
"Tiphanie Lemaitre","4","0.16","0.19","0.84","69.6","60","45.8","55.7","40","62.5"
"Linda Klimovicova","3","0.32","0.39","0.82","52.7","72.2","47.1","60.3","70","78.6"
"Ella Seidel","15","0.22","0.27","0.81","56.6","60.9","46.6","54.7","51.4","59.4"
"Elise Mertens","11","0.35","0.43","0.81","53.4","69.4","46.2","58.6","60.2","70.1"
"Clara Tauson","9","0.29","0.36","0.81","59.3","64.7","47.5","57.7","59.5","70.2"
"Iga Swiatek","15","0.25","0.31","0.81","58","66.3","48.6","58.8","56","72.3"
"Linda Noskova","8","0.36","0.45","0.8","62.3","66.6","39.4","56.3","53.5","62.5"
"Emeline Dartron","3","0.22","0.28","0.79","58.2","60","45.4","53.9","45.8","63.9"
"Victoria Rodriguez","3","0.15","0.19","0.79","65.1","53.6","40.3","49","50","46.2"
"Linda Fruhvirtova","6","0.35","0.45","0.78","63.2","62.2","35.1","52.3","46","55.8"
"Anna Kalinskaya","9","0.18","0.23","0.78","68.1","66.7","49.2","61.1","51.9","73.2"
"Tara Wurth","12","0.14","0.18","0.78","70.6","59.4","43.1","54.6","56","61"
"Belinda Bencic","6","0.2","0.26","0.77","69.3","64.9","38.2","56.7","61.2","64.8"
"Tereza Valentova","10","0.16","0.21","0.76","62.7","65.7","49.2","59.5","60.9","74.2"
"Taylor Townsend","5","0.16","0.21","0.76","66.1","65.5","43.3","58","66.7","67.9"
"Anca Alexia Todoni","17","0.16","0.21","0.76","63.7","63.7","50.1","58.7","61.3","72.6"
"Jelena Ostapenko","13","0.39","0.51","0.76","59.2","64.9","43.3","56.1","55.6","65.7"
"Antonia Ruzic","14","0.17","0.23","0.74","64.4","59.7","44.4","54.3","54.3","61.3"
