"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Jelena Ostapenko","3","0.15","0.18","72.2","39.2","52.6","42.9","48","63.6"
"Raluca Georgiana Serban","3","0.11","0.26","71.1","36.7","58.3","43","31","65.8"
"Joanna Garland","6","0.27","0.25","69.5","37","65.7","45.8","57.9","60.7"
"Tereza Valentova","3","0.03","0.38","68.8","47.2","52.5","48.8","55.3","46.2"
"Darja Semenistaja","3","0.26","0.32","68.8","43.1","58.1","47.7","57.7","55.9"
"Paula Badosa","4","0.26","0.31","68.6","38.9","51.4","42.8","50","68.6"
"Tatjana Maria","15","0.34","0.24","68.1","38.7","54.4","43.7","47.1","62.9"
"Yulia Starodubtseva","8","0.16","0.24","68.1","35.4","55.2","41.7","58.7","68.6"
"Elsa Jacquemot","8","0.08","0.22","68","39.4","55.5","44.6","42.7","62"
"Francesca Jones","6","0.31","0.24","68","34.5","53","40.4","45.9","70.7"
"Iva Jovic","9","0.38","0.46","67.9","38.3","56.2","44","48.6","63.6"
"Emiliana Arango","4","0.09","0.37","67.9","34.7","50","39.6","37.9","74.4"
"Nina Stojanovic","5","0.19","0.28","67.9","36.3","55.2","42.3","41.5","70.7"
"Mika Stojsavljevic","5","0.19","0.15","67.7","37.2","36.5","37","22.2","83"
"Elizabeth Mandlik","4","0.05","0.43","67.6","49.7","59","52.7","56.4","45"
"Yue Yuan","7","0.42","0.32","67.5","33.2","56.2","40.7","33.3","72.6"
"Ann Li","5","0.21","0.22","67.3","35","52.7","40.8","36","71.4"
"Destanee Aiava","5","0.25","0.26","67.3","28.3","63.7","39.9","43.6","75"
"Olga Danilovic","6","0.48","0.32","67.2","28.7","53.4","36.8","39.4","79"
"Rebecca Sramkova","9","0.27","0.29","67","38","43.3","39.7","50","73.3"
"Varvara Lepchenko","4","0.04","0.24","66.8","32.2","39.4","34.6","21.9","84.8"
"Hailey Baptiste","6","0.15","0.28","66.8","35.5","47.9","39.6","41.9","72.3"
"Peyton Stearns","3","0.32","0.18","66.7","31.5","58.5","40.5","35.3","78.6"
"Jasmine Paolini","6","0.34","0.36","66.7","34.4","51.3","40","37.5","73.1"
"Rebeka Masarova","11","0.15","0.32","66.6","36.2","52.3","41.6","35.6","73.5"
"Jessika Ponchet","6","0.33","0.29","66.6","32","53.9","39.3","43.9","72.7"
"Arina Rodionova","4","0.35","0.16","66.4","41.6","45.2","42.8","36.4","67.6"
"Viktorija Golubic","9","0.21","0.23","66.4","39.3","55.7","44.8","45.9","61.4"
"Robin Montgomery","6","0.48","0.44","66.4","30.8","59.8","40.5","32.1","74.6"
"Leonie Kung","3","0.24","0.31","66.3","27.8","57.8","37.9","33.3","79.3"
"Donna Vekic","6","0.46","0.34","66.3","28.7","58.1","38.6","44.8","76.8"
"Danielle Collins","4","0.25","0.22","66.1","34.2","53.8","40.9","55","69.4"
"Bianca Andreescu","6","0.23","0.25","66.1","34.9","52.5","40.8","46.2","68.4"
"Aryna Sabalenka","9","0.42","0.25","66","36.5","53.5","42.3","35.2","70.8"
"Varvara Gracheva","7","0.18","0.37","66","37.4","55.3","43.5","40.9","64"
"Greetje Minnen","10","0.28","0.31","65.9","35.8","55.5","42.5","50","67.7"
"Alize Cornet","4","0.24","0.27","65.9","35.3","57","42.7","35","68.9"
"Kimberly Birrell","11","0.58","0.36","65.8","32.9","57.4","41.3","38.9","70.3"
"Magdalena Frech","5","0.44","0.41","65.6","30.3","56.9","39.4","33.3","74.6"
"Veronika Erjavec","5","0.22","0.35","65.6","40.3","51.7","44.2","53.8","61.8"
"Katarzyna Kawa","9","0.28","0.32","65.6","39.2","51.8","43.6","47.4","63.4"
"Shuai Zhang","6","0.2","0.25","65.5","35.6","54.8","42.2","52.9","69.5"
"Kamilla Rakhimova","12","0.4","0.31","65.3","35.1","55.9","42.3","45.3","67.6"
"Talia Gibson","12","0.45","0.47","65.3","33.5","59.9","42.7","47.2","66"
"Lucrezia Stefanini","9","0.18","0.2","65.2","44.7","50.9","46.9","48.9","54.2"
"Lucia Bronzetti","4","0.25","0.14","65.2","25.9","38.9","30.4","50","86.1"
"Renata Zarazua","4","0.34","0.41","64.8","33.5","57.3","41.9","46.4","68.3"
"Erika Andreeva","3","0.13","0.13","64.8","30.4","50","37.3","66.7","73.3"
"Harmony Tan","3","0.23","0.53","64.7","30.9","53.7","38.9","42.1","73.3"
"Lizette Cabrera","3","0.09","0.21","64.6","37.9","48.8","41.8","36.7","67.6"
"Anca Alexia Todoni","5","0.27","0.32","64.5","26.1","55","36.4","38.5","84.8"
"Priscilla Hon","7","0.34","0.4","64.5","34.1","55","41.5","50","67.5"
"Panna Udvardy","3","0.32","0.26","64.5","32.1","67.5","44.7","48.1","61.8"
"Katie Boulter","7","0.36","0.35","64.4","35.6","53.1","41.8","52.8","69.6"
"Beatriz Haddad Maia","8","0.21","0.27","64.3","33.2","48.3","38.6","35.5","78.8"
"Bernarda Pera","4","0.43","0.24","64.2","28.4","50","36.1","45.8","78.4"
"Anastasia Zakharova","10","0.32","0.37","64.2","34.8","57.2","42.8","45.3","69.8"
"Mccartney Kessler","8","0.29","0.38","64.2","35.9","55.9","43","49.3","65.6"
"Solana Sierra","7","0.15","0.47","64","38.5","55","44.4","47.7","60.3"
"Alycia Parks","3","0.03","0.24","63.9","29","38.6","32.5","36.4","86.2"
"Lulu Sun","6","0.26","0.65","63.9","31.4","49.6","38","33.3","78.9"
"Marketa Vondrousova","7","0.15","0.25","63.9","36.6","58.9","44.6","48.4","62"
"Elisabetta Cocciaretto","10","0.2","0.28","63.8","39.6","53.2","44.5","47.1","65"
"Viktoriya Tomova","7","0.31","0.21","63.8","32.9","54.6","40.8","52.4","71.4"
"Mingge Xu","9","0.29","0.28","63.8","35","52.3","41.3","41.9","70.8"
"Naomi Osaka","6","0.4","0.44","63.8","33","53.1","40.3","38.1","77.1"
"Carson Branstine","8","0.28","0.39","63.7","38.3","52.5","43.4","45.3","65.3"
"Celine Naef","7","0.31","0.38","63.7","37.6","53.2","43.2","53.4","63.1"
"Daria Kasatkina","6","0.14","0.22","63.7","41","51.2","44.7","44.4","65.2"
"Leylah Annie Fernandez","8","0.32","0.3","63.6","36.3","52.4","42.1","49","69.5"
"Kaja Juvan","4","0.15","0.41","63.5","43.1","55.4","47.6","55.6","48.7"
"Amanda Anisimova","15","0.36","0.38","63.5","37.5","59.5","45.5","48.8","61.9"
"Isis Louise van Den Broek","3","0.23","0.35","63.5","38.6","55.3","44.7","45.8","64.5"
"Alana Smith","3","0.22","0.46","63.3","33.6","54.2","41.2","41.4","67.6"
"Ashlyn Krueger","8","0.24","0.3","63.3","31.1","53.3","39.2","57.1","70"
"Caroline Dolehide","5","0.19","0.29","63.1","30.8","53.4","39.1","31.8","75.9"
"Veronika Kudermetova","8","0.3","0.5","63.1","34.9","56.9","43","40","66.7"
"Whitney Osuigwe","3","0.14","0.29","63","36.7","48.4","41","50","71.4"
"Laura Siegemund","9","0.2","0.32","63","35.7","57.9","43.9","49.3","63.6"
"Maya Joint","7","0.11","0.27","62.9","41.7","56.1","47","54","58"
"Mirra Andreeva","8","0.13","0.26","62.9","35.4","58.4","43.9","48.3","64.6"
"Valentina Ryser","6","0.41","0.42","62.9","33.9","55.2","41.8","46.3","67.8"
"Madison Keys","7","0.18","0.23","62.8","34.8","50.7","40.7","40","72.5"
"Olivia Gadecki","5","0.21","0.27","62.7","33.7","49.1","39.4","26","76.8"
"Ekaterina Alexandrova","11","0.28","0.43","62.7","38.5","57.7","45.6","48.5","58"
"Renata Jamrichova","4","0.38","0.22","62.7","20.9","49.2","31.5","46.7","87.9"
"Daria Snigur","5","0.27","0.33","62.6","37.9","60.4","46.4","56.8","58.3"
"Leolia Jeanjean","5","0.37","0.25","62.5","34.8","52.4","41.4","43.2","69.2"
"Rebecca Marino","7","0.3","0.4","62.4","30.4","58.8","41.1","35.4","72"
"Emma Raducanu","8","0.27","0.29","62.3","41.2","56.6","47","44.6","55.4"
"Maria Mateas","3","0.27","0.33","62.3","31","52.6","39.1","28.6","80"
"Emily Appleton","5","0.34","0.31","62.3","36.6","48.6","41.1","35.8","72.9"
"Cristina Bucsa","10","0.18","0.5","62.2","38.2","54.3","44.3","33.7","65.3"
"Maria Sakkari","7","0.5","0.31","62.1","29.6","52.6","38.3","32.6","79.7"
