"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Kristiana Sidorova","3","0.17","0.2","75.3","36.9","63.3","43.4","36.7","63.3"
"Matilde Jorge","3","0.15","0.3","74.1","47","50","47.8","34.4","59.3"
"Momoko Kobori","3","0.24","0.35","71.1","44.9","60.3","49.4","51.5","50"
"Chenting Zhu","3","0.5","0.29","70.8","29.4","57.7","37.6","27.3","87.5"
"Sloane Stephens","4","0.04","0.29","70.7","31.8","60.5","40.2","52","71.1"
"Lia Karatancheva","4","0.24","0.22","70.5","28.8","49.4","34.9","30.4","82.9"
"Mary Stoiana","4","0.23","0.26","70.2","34.4","57.8","41.4","48","65.7"
"Ana Candiotto","3","0.14","0.25","69.6","43.8","61.9","49.3","72","50"
"Dasha Plekhanova","3","0.15","0.2","69.2","38.2","46.9","40.9","25","80"
"Eva Vedder","6","0.11","0.29","68.4","33.6","50.6","39","37.2","78.1"
"Harmony Tan","3","0","0.37","67.9","41.4","55.6","45.9","46.2","60"
"Gabriela Andrea Knutson","10","0.13","0.32","67.8","40.4","57.4","45.9","48","59.8"
"Vaishnavi Adkar","4","0.5","0.29","67.6","37.4","52.6","42.3","32.1","73.5"
"Hanna Chang","6","0.28","0.28","67.4","33.6","53.9","40.2","35","76.7"
"Yufei Ren","3","0.18","0.29","67.2","39.7","46.9","42.1","36.4","71.4"
"Mina Hodzic","3","0.31","0.31","67.1","30.6","47.9","36.3","70","73.1"
"Katarzyna Kawa","17","0.18","0.3","66.9","36.8","56.7","43.4","43.4","66.8"
"Yeon Woo Ku","3","0.43","0.11","66.9","38.3","47.2","41.3","47.4","67.9"
"Sachia Vickery","5","0.1","0.29","66.8","39.5","58.8","45.9","54.3","61.2"
"Elizabeth Mandlik","9","0.36","0.4","66.7","37.9","54.4","43.4","39.3","63.3"
"Lina Glushko","3","0.13","0.26","66.5","38","53.6","43.2","47.6","67.7"
"Lizette Cabrera","5","0.23","0.27","66.4","39.6","52.6","43.9","57.1","63.6"
"Tamara Korpatsch","13","0.12","0.2","66.2","41.5","58.1","47.1","42","56.7"
"Carole Monnet","4","0.36","0.49","66.1","28.1","60.6","39.1","31","80"
"Selena Janicijevic","4","0.13","0.23","65.8","41.9","48.4","44.1","46.7","65"
"Nikola Bartunkova","14","0.11","0.33","65.8","39.5","56.2","45.2","47.5","62.7"
"Tessah Andrianjafitrimo","7","0.07","0.31","65.7","37.8","57.6","44.6","55.4","63.5"
"Taylah Preston","9","0.3","0.4","65.5","45.8","57.1","49.7","51.7","52.1"
"Anna-Lena Friedsam","8","0.18","0.28","65.5","37.6","43.8","39.7","42.6","73.9"
"Beatriz Haddad Maia","18","0.21","0.36","65.5","35.3","53.6","41.6","44.1","69.6"
"Shuai Zhang","23","0.41","0.34","65.5","39.4","56","45.1","45.6","61.9"
"Sara Sorribes Tormo","6","0.14","0.23","65.4","43.4","56.9","48.1","53.6","53.8"
"Panna Udvardy","14","0.21","0.32","65.4","35.7","58.6","43.6","47.9","66.7"
"Tatjana Maria","29","0.28","0.36","65.2","36.3","52.5","42","43.8","68.2"
"Heather Watson","9","0.29","0.23","65.2","42.6","51.5","45.7","43.4","60.7"
"Xinyu Wang","29","0.23","0.31","65.2","36.4","53.1","42.2","41.9","69.1"
"Xinxin Yao","3","0.23","0.19","65.2","38.8","55.1","44.4","48","61.3"
"Julia Grabher","12","0.12","0.3","65.1","37.8","55.6","44","42.3","67.5"
"Alina Charaeva","13","0.26","0.28","65.1","34.8","56.2","42.3","57.5","66.9"
"Mananchaya Sawangkaew","10","0.21","0.32","65","42.9","54.2","46.9","50","57.1"
"Tiantsoa Sarah Rakotomanga Rajaonah","18","0.14","0.29","65","36.4","54.4","42.7","46.5","66.1"
"Alina Korneeva","14","0.16","0.33","65","36.7","54.8","43","39.2","65.3"
"Lilli Tagger","9","0.15","0.35","64.9","39.7","55.7","45.3","41.2","62.4"
"Aoi Ito","26","0.14","0.35","64.8","41.3","55.9","46.5","49.2","57.9"
"Moyuka Uchijima","35","0.22","0.38","64.8","36.4","54.1","42.6","41.4","67.4"
"Viktoria Hruncakova","5","0.49","0.25","64.8","25.8","52.6","35.2","34.4","81.4"
"Xiaodi You","8","0.09","0.32","64.8","36","53.3","42.1","38.3","69.3"
"Aliona Falei","5","0.28","0.28","64.8","38.1","54.8","43.9","42.6","67.2"
"Elena-Gabriela Ruse","24","0.2","0.37","64.7","40.4","52.7","44.7","47.2","60.4"
"Maria Carle","12","0.04","0.38","64.7","45.5","56.3","49.3","45.1","50.5"
"Linda Klimovicova","7","0.25","0.26","64.6","42.7","53.5","46.6","48.5","58.4"
"Petra Martic","8","0.11","0.35","64.6","37.9","57.5","44.8","56.9","60.8"
"Katrina Scott","4","0.21","0.38","64.6","35.9","52.3","41.7","31.1","70.8"
"Laura Pigossi","8","0.13","0.43","64.5","39.3","56.2","45.3","53.4","59.8"
"Lanlana Tararudee","21","0.13","0.29","64.4","40.4","53.2","45","44.8","62.2"
"Ashlyn Krueger","27","0.22","0.3","64.4","34.1","50.7","40","42.1","72.3"
"Alice Rame","5","0.11","0.25","64.3","46.2","57.6","50.3","52.8","49.1"
"En Shuo Liang","7","0.36","0.57","64.3","41.5","58.5","47.6","44.8","58.3"
"Nao Hibino","10","0.43","0.3","64.2","34.7","50","40.2","45.3","72.4"
"Jodie Anna Burrage","11","0.46","0.34","64.2","31.3","51","38.4","36.6","79.2"
"Hina Inoue","12","0.12","0.34","64.2","36.5","56.1","43.5","48.9","64.8"
"Ulrikke Eikeri","3","0.15","0.19","64.2","36.8","47.2","40.5","61.5","69.2"
"Carson Branstine","8","0.14","0.33","64.1","40.5","48.7","43.4","52.6","63.9"
"Sinja Kraus","8","0.2","0.36","64.1","41.3","60.4","48.1","48.9","53.2"
"Karolina Muchova","34","0.26","0.37","64.1","35.9","54.4","42.6","39.5","68.7"
"Kaja Juvan","20","0.12","0.35","64.1","38.1","55.8","44.4","46.7","64.4"
"Alycia Parks","34","0.16","0.34","64","35.1","53.9","41.9","46.4","68.6"
"Jia-Jing Lu","5","0.05","0.3","64","38.8","54.1","44.3","44.4","64.3"
"Carol Young Suh Lee","7","0.12","0.32","64","40.1","52.7","44.6","45.8","64"
"Linda Fruhvirtova","23","0.2","0.39","63.9","39.3","57.1","45.7","44.2","57.7"
"Renata Jamrichova","4","0.39","0.5","63.9","36.8","60","45.2","40","65.2"
"Diane Parry","16","0.28","0.32","63.9","35.7","52","41.6","51","67.9"
"Mirra Andreeva","30","0.14","0.34","63.9","41.6","56.6","47","50.2","57.1"
"Sofia Costoulas","12","0.26","0.3","63.9","33.9","56.8","42.1","44.9","68"
"Aliaksandra Sasnovich","23","0.28","0.4","63.8","38.9","57.9","45.8","42.2","60.8"
"Tatiana Prozorova","16","0.24","0.36","63.8","34.8","59.8","43.9","54.4","62.2"
"Chloe Paquet","10","0.22","0.39","63.7","30.2","51.2","37.8","30.1","79.2"
"Lauren Davis","8","0.53","0.25","63.6","35.4","46.9","39.6","47.8","73.5"
"Darja Semenistaja","11","0.29","0.29","63.6","35.9","53.9","42.5","46.5","69.4"
"Rebeka Masarova","21","0.13","0.28","63.5","34.4","51.3","40.6","48.2","71.6"
"Ekaterina Alexandrova","37","0.36","0.28","63.5","38.7","54.2","44.4","46.9","65.2"
"Ayla Aksu","4","0.38","0.18","63.5","37.9","50","42.3","36.4","70"
"Emiliana Arango","38","0.11","0.38","63.4","41.5","58","47.5","46.1","55.7"
"Varvara Gracheva","33","0.27","0.34","63.4","37.4","58.5","45.1","45.7","60.5"
"Ayano Shimizu","3","0.44","0.21","63.4","29.3","59.2","40.2","48","64.7"
"Sada Nahimana","4","0.07","0.37","63.4","40.1","55.9","45.9","50","61"
"Thaisa Grana Pedretti","4","0.21","0.51","63.4","37.5","52.6","43","48","69.2"
"Yasmine Mansouri","3","0.04","0.4","63.4","42.2","55.2","47","43.5","60"
"Arianne Hartono","13","0.2","0.5","63.3","36.1","55.8","43.3","48.5","64.7"
"Harriet Dart","14","0.16","0.4","63.3","41.6","54.6","46.4","52.8","58.8"
"Janice Tjen","27","0.28","0.28","63.3","34.9","56.8","42.9","43.8","66.7"
"Cadence Brace","12","0.23","0.33","63.3","38.3","52.4","43.5","44.7","63.5"
"Karolina Pliskova","3","0.34","0.37","63.3","32","61.2","42.7","31.7","68.3"
"Himeno Sakatsume","17","0.18","0.35","63.1","43.6","58.2","49","48.8","53.3"
"Kaitlin Quevedo","11","0.41","0.33","63.1","35.1","50.6","40.8","41.9","68.7"
"Kayla Day","5","0.33","0.51","63.1","34","50.8","40.2","46.7","72.5"
"Irene Burillo Escorihuela","5","0.07","0.42","63","35.7","54.2","42.6","48.3","67.4"
"Taylor Townsend","24","0.27","0.29","63","35.2","52.6","41.6","41.2","69.9"
"Anastasia Tikhonova","5","0.31","0.24","63","34.2","49.6","39.9","61.5","68.6"
"Liudmila Samsonova","27","0.42","0.31","63","33","53.5","40.6","47.3","69.7"
"Dalma Galfi","21","0.16","0.34","63","34.9","52.2","41.3","43.7","70.3"
"Diana Shnaider","30","0.34","0.36","63","35","57.8","43.5","49","64.2"
"Petra Kvitova","4","0.44","0.29","63","30.4","50","37.7","41.4","75"
"Miriana Tona","5","0.21","0.38","63","39","59","46.4","54.8","58.9"
"Rebecca Sramkova","33","0.34","0.33","62.9","36.2","54","42.8","42.1","66.6"
"Claire Liu","20","0.2","0.29","62.9","36.9","55.1","43.6","42.8","63.9"
"Caty McNally","25","0.25","0.33","62.9","36.4","55.1","43.3","51.1","64.8"
"Sonay Kartal","24","0.22","0.31","62.9","36.7","54.6","43.3","47","65.3"
"Amanda Anisimova","30","0.27","0.37","62.9","38.2","57.1","45.2","43.9","61.7"
"Vitalia Diatchenko","7","0.25","0.48","62.9","38","61.5","46.7","48.6","58"
"Ella Seidel","31","0.3","0.34","62.8","36.7","53.6","43","47.4","64.6"
"Maya Joint","45","0.19","0.4","62.8","38.3","59.2","46","46.9","59.8"
"Viktorija Golubic","34","0.24","0.33","62.8","40.4","55.5","46","47.8","59.8"
"Haruka Kaji","4","0.12","0.45","62.8","34.6","55.6","42.4","42.9","71.4"
"Caroline Werner","6","0.24","0.49","62.8","38.1","51.9","43.2","53.1","61.8"
"Bernarda Pera","14","0.37","0.43","62.7","33.1","52.8","40.4","48","71.2"
"Elisabetta Cocciaretto","29","0.27","0.29","62.7","37.9","54.7","44.1","47.5","63.1"
"Elina Avanesyan","12","0.06","0.4","62.7","41.8","55.3","46.8","47.8","57.1"
"Elvina Kalieva","8","0.32","0.44","62.7","35.2","55.3","42.7","39.6","72"
"Julia Riera","5","0.11","0.45","62.7","32","54.5","40.4","54.8","69.1"
"Thasaporn Naklo","3","0.23","0.15","62.7","34.9","50.8","40.8","33.3","69.2"
"Tara Wurth","5","0.02","0.44","62.7","45.9","60.2","51.2","59.1","48"
"Hailey Baptiste","24","0.32","0.3","62.6","34.4","48.7","39.8","44.4","72"
"Wushuang Zheng","3","0.15","0.27","62.6","35.8","49.2","40.8","38.1","69.2"
"Alana Smith","9","0.31","0.54","62.6","33.4","53","40.8","34.9","72.7"
"Marta Kostyuk","32","0.06","0.39","62.6","38.3","55.8","44.8","47.7","61.6"
"Barbora Krejcikova","17","0.27","0.47","62.6","37.2","56.3","44.3","49","61.7"
"Victoria Hu","4","0.06","0.53","62.5","38.1","61.5","46.9","42.9","58.3"
"Victoria Rodriguez","9","0.21","0.51","62.5","37.9","62.6","47.2","52.9","57.5"
"Madison Keys","20","0.13","0.3","62.4","39","53.4","44.4","44.8","64.5"
"Elsa Jacquemot","20","0.21","0.39","62.4","36.9","51.9","42.6","47.1","65.7"
"Joanna Garland","18","0.27","0.43","62.4","33","57.3","42.1","50.8","66.8"
"Bianca Andreescu","6","0.17","0.42","62.4","37.1","52.8","43","47.9","64.6"
"Cristina Bucsa","42","0.26","0.38","62.3","38.6","57","45.5","45.5","60.7"
"Erika Andreeva","7","0.21","0.44","62.3","38.9","56","45.3","40","62.7"
"Viktoriya Tomova","20","0.21","0.41","62.3","40.2","59.4","47.5","40.9","56.9"
