"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Natela Dzalamidze","2","0.53","0.16","3.31","64.8","64.6","46.5","58.2","60","68.4"
"Janette Husarova","1","0.43","0.14","3.07","72.7","50","25","43.2","61.5","28.6"
"Violette Huck","2","0.15","0.05","3","64.1","53.7","54.3","53.9","42.9","60"
"Serena Williams","115","0.61","0.26","2.35","61.5","72.5","50.5","64","62.3","79.5"
"Stephanie Bengson","1","0.58","0.25","2.32","61.4","62.8","55.6","60","50","66.7"
"Madison Keys","138","0.39","0.18","2.17","64.2","66.4","48.5","60","58.1","72.4"
"Georgina Garcia Perez","36","0.52","0.24","2.17","55.5","67.2","45.6","57.6","55.6","67.3"
"Agnieszka Radwanska","86","0.23","0.11","2.09","64.5","63.4","46.6","57.4","53.9","66.9"
"Akgul Amanmuradova","52","0.37","0.18","2.06","67.5","63.6","46.7","58.1","55","69"
"Sofia Costoulas","2","0.18","0.09","2","71.3","66.1","42.2","59.2","60","72.7"
"Ana Filipa Santos","1","0.2","0.1","2","68.2","55.2","33.3","48.2","60","40"
"Amy Zhu","2","0.26","0.13","2","62","60.4","53.2","57.7","64.7","73.9"
"Rita Esteves de Freitas","1","0.22","0.11","2","60.6","50","34.6","43.9","61.5","44.4"
"Naomi Osaka","69","0.47","0.24","1.96","57.2","68.6","46.5","59.1","51.1","70.7"
"Katarina Kozarov","1","0.33","0.17","1.94","66.7","38.5","15.4","30.8","0","0"
"Gaia Sanesi","7","0.25","0.13","1.92","73.8","54.1","43.4","51.3","39.6","52.5"
"Vivien Juhaszova","1","0.25","0.13","1.92","60","47.6","46.4","47.1","50","50"
"Alexa Glatch","37","0.44","0.23","1.91","57.1","64.6","44.9","56.1","57.6","64.7"
"Ana Clara Duarte","4","0.17","0.09","1.89","72.8","57.2","40.3","52.6","51.5","54.3"
"Anna Bondar","133","0.32","0.17","1.88","60.3","65.4","48.1","58.5","57.8","69.6"
"Kristyna Pliskova","96","0.62","0.35","1.77","58.2","70.6","44.3","59.6","61.9","72.5"
"Lauren Albanese","6","0.07","0.04","1.75","71.9","55.2","40","50.9","46.9","54.1"
"Karolina Pliskova","138","0.57","0.33","1.73","62.4","68.8","43.8","59.4","57.8","71.5"
"Naomi Broady","11","0.49","0.29","1.69","61.8","65.4","40.6","55.9","56.7","63.9"
"Ekaterina Bychkova","16","0.47","0.28","1.68","49.6","67.3","45.8","56.4","50.8","63.8"
"Nadia Petrova","62","0.47","0.29","1.62","59.5","69.8","45.3","59.8","55.8","71.5"
"Angela Haynes","11","0.24","0.15","1.6","64.8","61.4","48.9","57","60.2","66.7"
"Ling Zhang","2","0.11","0.07","1.57","62.4","59.3","55.4","57.9","66.7","67.9"
"Elena Rybakina","92","0.45","0.29","1.55","58.7","69.7","48","60.8","62.5","75.1"
"Julia Goerges","162","0.43","0.28","1.54","58.1","66.9","47.2","58.7","58.2","69.8"
"Stefania Rubini","2","0.23","0.15","1.53","69","60.7","50","57.4","47.4","61.5"
"Veronika Kudermetova","108","0.39","0.26","1.5","57.5","66.5","46.5","58","54.8","68.1"
"Valeria Salazar","1","0.43","0.29","1.48","53.7","45.5","36.8","41.5","16.7","28.6"
"Jessika Ponchet","39","0.37","0.25","1.48","53.3","68.3","39.8","55","53","62.3"
"Ashleigh Barty","60","0.41","0.28","1.46","58.9","70.1","48.9","61.4","57.3","75.2"
"Alison Van Uytvanck","82","0.29","0.2","1.45","59.5","64.2","48.1","57.7","56.3","67.8"
"Karolina Muchova","43","0.23","0.16","1.44","64.8","62.6","50.8","58.4","57.1","68.8"
"Jennifer Brady","40","0.33","0.23","1.43","57.9","67.4","47.4","59","58.2","71"
"Rebecca Marino","29","0.45","0.32","1.41","57.8","64.8","45","56.4","53.8","64.3"
"Alexandra Vecic","2","0.14","0.1","1.4","64.5","48.3","36.7","44.2","48.1","33.3"
"Romana Tabak","4","0.25","0.18","1.39","69.7","54.5","37.2","49.3","56.3","47.5"
"Ahsha Rolle","10","0.39","0.28","1.39","63.6","62.7","47.7","57.3","57.6","67.6"
"Aubane Droguet","2","0.44","0.32","1.38","69.5","57.6","41.4","52.6","62.1","56"
"Karman Kaur Thandi","3","0.18","0.13","1.38","68.3","60.6","48.6","56.8","33.3","63.2"
"Caroline Garcia","164","0.4","0.29","1.38","63.6","66.3","48.7","59.9","58.2","72.6"
