"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Ana Savic","3","0.41","0.06","6.83","64.6","66.9","55.9","63","30.8","73.5"
"Alexa Graham","1","0.54","0.08","6.75","54.3","52.6","41.7","47.6","50","46.2"
"Melanie Klaffner","3","0.33","0.08","4.13","66.7","61.2","34.7","52.4","50","54.2"
"Elena Kulikova","2","1.05","0.26","4.04","51.2","81.5","35.5","59.1","37.5","73.7"
"Ellen Barry","1","0.4","0.1","4","68.3","53.5","65","57.1","20","60"
"Lena Rueffer","1","0.63","0.19","3.32","57.1","71.7","46.7","61","57.1","81.3"
"Anastassia Grymalska","2","0.4","0.13","3.08","69.6","46.2","32.4","42","59.3","26.7"
"Luisa Stefani","4","0.31","0.12","2.58","72","56.6","44.7","53.3","54.3","57.1"
"Kristiana Sidorova","3","0.36","0.14","2.57","55.7","64.8","48.8","57.7","70","67.9"
"Monika Ekstrand","1","0.5","0.2","2.5","62.9","51.3","47.8","50","54.5","50"
"Emina Bektas","77","0.54","0.22","2.45","66.2","68.4","45.8","60.8","55.7","73.3"
"Martyna Kubka","8","0.5","0.21","2.38","61.2","66.5","43.8","57.7","64.3","72"
"Naomi Osaka","281","0.57","0.24","2.38","55.9","72.7","49.1","62.3","60.4","77.6"
"Daniella Jeflea","2","0.61","0.26","2.35","43.8","76.6","40.2","56.2","42.9","65.2"
"Serena Williams","312","0.75","0.32","2.34","58.7","75.3","49.1","64.4","62.5","81"
"Carol Young Suh Lee","7","0.32","0.14","2.29","75","61.8","47.4","58.2","57.9","69.2"
"Mika Stojsavljevic","1","0.41","0.18","2.28","59.3","67.2","54.3","61.9","50","70.6"
"Elena Rybakina","221","0.6","0.27","2.22","57.4","72.3","49.4","62.6","61.5","78.4"
"Sofia Costoulas","12","0.39","0.18","2.17","60.1","67.2","53.3","61.6","62.5","76.4"
"Natsumi Hamamura","4","0.32","0.15","2.13","55.6","58.1","35.4","48","47.1","47.1"
"Kaitlin Quevedo","11","0.4","0.19","2.11","67","64.6","52.9","60.8","60.8","73.7"
"Pia Lovric","1","0.18","0.09","2","55.1","47.4","38.7","43.5","12.5","36.4"
