"Player","Match Stat Matches","Opponent Aces per Game","Opponent DFs per Game","Opponent 1st Serve %","1st Return W %","2nd Return W %","Return Pts W %","BP W %","Opponent Hold %"
"Ilinca Amariei","3","0.08","0.13","77.8","42.1","44.4","42.6","44.4","66.7"
"Kristiana Sidorova","3","0.17","0.2","75.3","36.9","63.3","43.4","36.7","63.3"
"Aneta Kucmova","3","0.19","0.14","71.3","39.1","52.9","43","35.3","66.7"
"Momoko Kobori","3","0.24","0.35","71.1","44.9","60.3","49.4","51.5","50"
"Chenting Zhu","3","0.5","0.29","70.8","29.4","57.7","37.6","27.3","87.5"
"Sloane Stephens","4","0.04","0.29","70.7","31.8","60.5","40.2","52","71.1"
"Mina Hodzic","6","0.13","0.21","70.3","36.3","50.9","40.6","57.1","68.3"
"Mary Stoiana","4","0.23","0.26","70.2","34.4","57.8","41.4","48","65.7"
"Lina Gjorcheska","6","0.31","0.36","70.1","36.2","56.8","42.4","32.7","69.1"
"Clara Burel","4","0","0.22","69.6","48.7","59.4","52","57.1","44.4"
"Despina Papamichail","16","0.05","0.25","69.5","46.5","51.8","48.2","45.2","55.4"
"Dasha Plekhanova","3","0.15","0.2","69.2","38.2","46.9","40.9","25","80"
"Haley Giavara","7","0.15","0.19","69","33.7","50","38.8","32.1","75.7"
"Eugenie Bouchard","3","0.06","0.22","68.8","38.7","45.9","40.9","41.7","72.2"
"Yasmine Mansouri","4","0.1","0.29","68.6","40.6","51.1","43.9","41.2","66.7"
"Anastasia Abbagnato","4","0.08","0.3","68.6","34.9","55.3","41.3","39.3","70.3"
"Lia Karatancheva","9","0.12","0.22","68.5","35.3","52.9","40.9","37.1","75.8"
"Carlota Martinez Cirez","13","0.16","0.39","68.4","39.1","53.8","43.7","50.6","65.6"
"Valentina Mediorreal Arias","3","0.11","0.21","68.3","29.3","45.6","34.4","30.8","85.7"
"Luisina Giovannini","13","0.07","0.33","68.3","37.5","55.4","43.2","52.3","66.7"
"Tatiana Pieri","9","0.16","0.46","68.1","43.8","63.7","50.1","42.6","50"
"Matilde Jorge","4","0.17","0.36","68","43.6","55.8","47.5","39.5","59.5"
"Ylena In-Albon","3","0.05","0.23","68","38.4","50.6","42.3","65","66.7"
"Giulia Safina Popa","3","0.17","0.37","68","36","63.6","44.8","59.1","62.9"
"Maria Carle","50","0.05","0.24","67.8","45.6","57","49.3","49.8","50.6"
"Mika Stojsavljevic","5","0.19","0.15","67.7","37.2","36.5","37","22.2","83"
"Vaishnavi Adkar","4","0.5","0.29","67.6","37.4","52.6","42.3","32.1","73.5"
"Elena Malygina","3","0.11","0.25","67.4","37.2","57.1","43.7","34.6","67.9"
"Silvia Ambrosio","12","0.01","0.28","67.2","43.3","53.5","46.6","44.1","57.4"
"Harmony Tan","7","0.11","0.42","66.9","37.6","54.4","43.2","44.8","64.9"
"Yeon Woo Ku","3","0.43","0.11","66.9","38.3","47.2","41.3","47.4","67.9"
"Sachia Vickery","5","0.1","0.29","66.8","39.5","58.8","45.9","54.3","61.2"
"Alicia Herrero Linana","14","0.09","0.37","66.7","41.6","60.9","48.1","44.7","53.4"
"Tiphanie Lemaitre","6","0.1","0.24","66.7","37.5","46.4","40.5","36.1","74"
"Camilla Rosatello","10","0.18","0.34","66.6","41.2","56.3","46.2","44.7","59.1"
"Maja Chwalinska","41","0.1","0.31","66.6","43","57.5","47.8","49.6","55.5"
"Elizabeth Mandlik","19","0.22","0.41","66.6","41.6","55.8","46.4","44.8","57.5"
"Polona Hercog","14","0.08","0.27","66.6","36.9","55.8","43.2","48.6","66"
"Alice Rame","15","0.15","0.27","66.5","43.4","56.5","47.8","48.3","55.1"
"Tyra Caterina Grant","14","0.27","0.27","66.4","34.8","52","40.6","48.4","67.6"
"Lola Radivojevic","38","0.15","0.35","66.4","39.3","56.7","45.2","46.2","62"
"Miriam Bianca Bulgaru","23","0.22","0.36","66.4","37.5","53.6","43","48.8","64.5"
"Alize Cornet","10","0.16","0.22","66.4","39","54.5","44.2","42","64.6"
"Tatiana Prozorova","28","0.18","0.32","66.3","37.3","56.2","43.6","50.7","64.1"
"Xiaodi You","11","0.1","0.31","66.3","37.7","54.5","43.4","41.8","66.3"
"Sada Nahimana","19","0.09","0.3","66.2","39.5","50.3","43.1","50.8","65.4"
"Katarzyna Kawa","42","0.2","0.36","66","39.3","56.1","45","44.5","62.4"
"Kristina Dmitruk","8","0.13","0.31","66","43.7","48.2","45.3","42.5","60.9"
"Nauhany Vitoria Leme Da Silva","3","0.03","0.54","66","39.3","56","44.9","60","59.5"
"Eva Vedder","20","0.21","0.34","65.9","34.3","51.7","40.2","45.8","72.5"
"Ana Konjuh","8","0.14","0.21","65.9","31.1","39.9","34.1","40.6","83.8"
"Nikola Bartunkova","14","0.11","0.33","65.8","39.5","56.2","45.2","47.5","62.7"
"Petra Kvitova","9","0.3","0.35","65.8","32.3","49.3","38.1","38.5","75"
"Jessica Pieri","20","0.18","0.36","65.7","40.2","57.3","46.1","50.3","60.5"
"Tamara Korpatsch","39","0.12","0.25","65.7","40.7","59.2","47.1","46.8","57.7"
"Petra Martic","24","0.21","0.39","65.7","36.3","55.4","42.8","46.4","66.2"
"Julia Grabher","42","0.12","0.34","65.7","37.8","58.2","44.8","46.4","63"
"Lizette Cabrera","9","0.16","0.29","65.7","37.4","53.7","43","44.8","65.5"
"Ariana Geerlings","6","0.08","0.28","65.7","40.5","59.2","46.9","42.2","58.5"
"Laura Pigossi","27","0.11","0.35","65.7","39.5","52.7","44","47.4","63.8"
"Susan Bandecchi","13","0.15","0.37","65.7","39.6","55.6","45.1","46","61.6"
"Anouk Koevermans","26","0.12","0.24","65.7","37.4","48.1","41.1","48.9","68.6"
"Carolina Alves","14","0.18","0.27","65.7","38.6","54","43.9","45.8","63"
"Nina Stojanovic","17","0.23","0.36","65.7","37.7","54.7","43.5","36.7","66.8"
"Gabriela Ce","6","0.11","0.34","65.7","38.3","50.8","42.6","32.1","69.6"
"Anca Alexia Todoni","29","0.16","0.29","65.6","36.5","56.6","43.4","48.2","66.1"
