"Player","Match Stat Matches","Aces per Game","DFs per Game","Ace to DF ratio","1st Serve %","1st Serve W %","2nd Serve W %","Service Pts W %","BP save %","Service hold %"
"Harmony Tan","7","0.36","0.13","2.77","57.8","56.3","46.4","52.1","53.8","52"
"Kristiana Sidorova","3","0.36","0.14","2.57","55.7","64.8","48.8","57.7","70","67.9"
"Katrina Scott","9","0.17","0.07","2.43","80.6","56.4","47.6","54.7","52.7","60"
"Elena Rybakina","70","0.65","0.28","2.32","57.2","74.9","50.3","64.3","64.6","82.1"
"Carol Young Suh Lee","7","0.32","0.14","2.29","75","61.8","47.4","58.2","57.9","69.2"
"Karolina Muchova","41","0.39","0.19","2.05","62.6","67.6","49","60.6","59.2","75"
"Ann Li","54","0.41","0.21","1.95","57.7","66","46.6","57.8","53.9","67.2"
"Sofia Costoulas","19","0.33","0.17","1.94","61.2","66.1","48.8","59.4","56.4","71.8"
"Naomi Osaka","42","0.58","0.3","1.93","56.9","73.8","47.4","62.5","57.8","76.5"
"Veronika Kudermetova","52","0.48","0.25","1.92","58.1","69.6","47.1","60.2","52.6","71.6"
"Aryna Sabalenka","68","0.4","0.21","1.9","62.3","68.8","50.5","61.9","65.5","78.3"
"Darja Vidmanova","14","0.43","0.23","1.87","62.1","65.8","49.5","59.7","56.3","71.2"
"Rebecca Marino","30","0.74","0.41","1.8","55.7","68","44.5","57.6","57.4","65.5"
"Anna Bondar","63","0.36","0.2","1.8","59.5","65.5","48.5","58.6","57.4","70.3"
"Jessika Ponchet","28","0.5","0.28","1.79","55.1","68.1","43.3","56.9","53.7","66"
"Jamie Loeb","3","0.32","0.18","1.78","63.6","62.6","42.9","55.4","54.2","67.6"
"Tatjana Maria","56","0.39","0.22","1.77","57.8","65.4","44.9","56.8","49.5","65.2"
"Taylor Townsend","34","0.42","0.24","1.75","67.6","65.7","49.4","60.4","66.1","73.5"
"Sorana Cirstea","53","0.35","0.21","1.67","59.2","67.5","49","59.9","55.2","71.7"
"Lulu Sun","51","0.54","0.34","1.59","55.7","71","47.7","60.7","60.3","73.8"
"Magda Linette","47","0.35","0.22","1.59","59.7","64.7","45.7","57.1","58.4","66.6"
"Lilli Tagger","9","0.35","0.22","1.59","66.7","61.5","42.8","55.3","57.8","61.5"
"Clara Tauson","52","0.52","0.33","1.58","59.3","68.8","47.9","60.3","60.6","74.3"
"Sonay Kartal","44","0.19","0.12","1.58","70.3","63.2","51.3","59.7","56.6","72.1"
"Viktoria Hruncakova","5","0.75","0.48","1.56","51.7","68.9","47.4","58.5","55","67.9"
"Lea Ma","6","0.37","0.24","1.54","59.4","64.4","45.7","56.8","58.7","69.4"
"Dalma Galfi","53","0.44","0.29","1.52","61.3","69.5","49.4","61.7","64.3","78.1"
"Destanee Aiava","14","0.35","0.23","1.52","60.6","62.5","49.1","57.2","43.8","63.6"
"Mia Pohankova","4","0.68","0.45","1.51","55.5","66.7","41.6","55.5","69.2","68.4"
"Hina Inoue","17","0.48","0.33","1.45","51.2","69.2","42.7","56.3","55.1","66.1"
"Daria Lodikova","3","0.13","0.09","1.44","75.2","55.1","43.1","52.1","50","53.1"
"Caroline Garcia","12","0.31","0.22","1.41","60.6","62.5","46","56","48.1","65.9"
"Priska Madelyn Nugroho","8","0.21","0.16","1.31","63","58.4","37.9","50.9","43.8","52.3"
"Liudmila Samsonova","50","0.38","0.29","1.31","58.5","68.4","46.8","59.4","59.8","71.2"
"Petra Martic","24","0.39","0.3","1.3","61.7","64.7","44.9","57.1","59.8","67.4"
"Linda Noskova","60","0.55","0.43","1.28","59.3","70.1","48.4","61.3","57.9","74.8"
"Polina Iatcenko","12","0.37","0.29","1.28","58.9","66.7","41.5","56.3","59.1","66.4"
"Oceane Dodin","3","0.41","0.32","1.28","62.4","67.3","50","60.8","60","78.4"
"Rebeka Masarova","52","0.52","0.41","1.27","58.9","71.3","45.9","60.9","59","75.4"
"Anca Alexia Todoni","29","0.24","0.19","1.26","64","62","50.1","57.7","61.6","70.7"
"Bernarda Pera","32","0.51","0.41","1.24","61.8","66.2","44","57.7","56.6","69.2"
"Janice Tjen","27","0.33","0.27","1.22","62.6","70.2","50.6","62.9","63.5","78"
"Elise Mertens","49","0.46","0.38","1.21","57.1","70.7","48.3","61.1","62","74.8"
"Rebecca Sramkova","50","0.35","0.29","1.21","60.8","64","45.9","56.9","54.9","66.5"
"Shrivalli Rashmikaa Bhamidipaty","5","0.51","0.42","1.21","49.5","68.2","38.2","53.1","63.8","60.5"
"Amarni Banks","7","0.42","0.35","1.2","68.4","66.5","48.2","60.7","58.8","73.1"
"Tiphanie Lemaitre","6","0.24","0.2","1.2","66","62.5","44.9","56.5","48.6","64"
"Varvara Lepchenko","61","0.25","0.21","1.19","66.1","68.4","46.5","61","52.6","64"
"Emina Bektas","13","0.44","0.37","1.19","65.3","66.1","44","58.4","57.6","69.1"
"Qinwen Zheng","30","0.44","0.37","1.19","55","69.9","45","58.7","49.5","69.3"
"Kaitlin Quevedo","21","0.25","0.21","1.19","67.2","61.6","45.4","56.3","49.4","64.1"
"Lola Radivojevic","38","0.35","0.3","1.17","52","67.8","47.6","58.1","57.8","68.9"
"Nadiya Kolb","4","0.21","0.18","1.17","62.5","55.7","44.2","51.4","34.5","51.3"
"Ekaterina Alexandrova","71","0.45","0.39","1.15","63.3","68.4","46","60.2","59.7","74.8"
"Ena Shibahara","34","0.33","0.29","1.14","61.7","65.1","48.9","58.9","56.6","69.1"
"Jessica Pegula","70","0.24","0.21","1.14","61.4","66.8","49.6","60.2","59.1","73.5"
"Mika Stojsavljevic","5","0.46","0.41","1.12","58.4","65.7","41.1","55.5","42.3","67.4"
"Yue Yuan","35","0.19","0.17","1.12","63.7","63.1","46.1","56.9","54.4","64.7"
"Shuai Zhang","41","0.28","0.25","1.12","67.7","65.9","44.7","59.1","52.8","70.2"
"Nastasja Schunk","5","0.31","0.28","1.11","64.6","64","43.2","56.7","57.8","64.8"
