Tour,Player,Match Stat Matches,Aces per Game,DFs per Game,Ace to DF ratio,1st Serve %,1st Serve W %,2nd Serve W %,Service Pts W %,BP save %,Service hold %,Opponent Aces per Game,Opponent DFs per Game,Opponent 1st Serve %,1st Return W %,2nd Return W %,Return Pts W %,BP W %,Opponent Hold %,Aces per Game (shrunk_k=20),DFs per Game (shrunk_k=20),Ace to DF ratio (shrunk_k=20),1st Serve % (shrunk_k=20),1st Serve W % (shrunk_k=20),2nd Serve W % (shrunk_k=20),Service Pts W % (shrunk_k=20),BP save % (shrunk_k=20),Service hold % (shrunk_k=20),Opponent Aces per Game (shrunk_k=20),Opponent DFs per Game (shrunk_k=20),Opponent 1st Serve % (shrunk_k=20),1st Return W % (shrunk_k=20),2nd Return W % (shrunk_k=20),Return Pts W % (shrunk_k=20),BP W % (shrunk_k=20),Opponent Hold % (shrunk_k=20)
ATP,Yi Zhou,6,0.79,0.08,9.88,66.4,70.9,49.2,63.6,69.4,81.3,0.52,0.18,63.8,25.1,53.0,35.2,41.9,83.5,0.5342807192807193,0.20777222777222776,3.949005994005994,63.1385114885115,70.36178821178822,49.87182817182817,62.77707292707293,62.51963036963038,78.16488511488511,0.5009440559440559,0.22972527472527474,62.61143856143856,27.49385614385615,49.76948051948052,35.810639360639364,39.31608391608391,80.82492507492508
ATP,Brandon Nakashima,62,0.69,0.08,8.63,66.1,74.2,52.2,66.7,64.0,84.6,0.64,0.23,63.3,27.8,48.3,35.3,35.6,82.4,0.6333085207475451,0.12051314539119418,7.0543189737092185,65.13904022806462,73.22446943300604,51.681311371555275,65.68297434273045,63.135492556224264,82.80106113398796,0.604689578713969,0.2335714285714286,63.045090275578076,27.900490972442196,48.42203040861577,35.46922711434906,36.31729490022173,81.82009819448844
ATP,Hubert Hurkacz,19,0.86,0.11,7.82,62.8,77.2,51.5,67.6,69.1,87.0,0.43,0.22,60.6,24.7,48.2,34.0,38.9,83.9,0.6536230436230437,0.1797968697968698,4.922414252414253,62.47182817182818,73.61042291042291,50.768398268398265,65.0000999000999,64.66693306693307,81.98684648684649,0.4634498834498834,0.23263736263736262,61.448651348651346,26.501032301032303,48.50785880785881,35.02247752247752,38.71585081585082,81.91148851148853
ATP,Bernard Tomic,17,0.54,0.07,7.71,65.8,71.1,53.9,65.2,64.9,83.0,0.71,0.24,61.0,25.7,47.2,34.1,37.5,84.5,0.4954405054405054,0.16519129519129522,4.7152474552474555,63.83246753246754,70.61368901368901,51.83155493155493,63.75686205686206,62.4975780975781,79.87802737802738,0.593906633906634,0.24250965250965253,61.678308178308185,27.05784485784486,48.06504036504036,35.123692523692526,38.06265356265356,82.07967707967708
ATP,Matteo Berrettini,33,0.81,0.12,6.75,67.9,75.9,53.9,68.9,66.5,86.5,0.47,0.2,65.7,26.7,44.4,32.8,40.8,84.7,0.6770056358735604,0.1675863758882627,5.021587846116147,65.73398676794905,73.74917912276403,52.45599117863269,66.49629992648862,64.21906395491301,82.99975496201913,0.4795197255574614,0.21684636118598385,64.39995099240382,27.270570938495467,46.060499877481014,34.00521930899289,39.947512864493994,82.93486890468021
ATP,Brandon Holt,20,0.45,0.07,6.43,66.0,67.9,50.7,62.0,56.5,75.0,0.6,0.2,65.9,26.9,50.5,34.9,40.4,81.8,0.4537824675324675,0.15805194805194805,4.299853896103896,64.08003246753246,69.05016233766234,50.3866883116883,62.26509740259739,58.47775974025974,76.11217532467533,0.5476136363636364,0.22232142857142856,64.07743506493507,27.556006493506494,49.65016233766234,35.446915584415585,39.470454545454544,80.9112012987013
ATP,Taylor Fritz,64,0.91,0.15,6.07,63.8,79.5,53.8,70.2,67.3,89.2,0.6,0.24,63.4,25.7,51.2,35.0,36.1,82.9,0.8022773654916513,0.17288188002473717,5.141358998144712,63.40953927025355,77.28579158936301,52.91270871985158,68.37385590599877,65.67036178107607,86.34865491651206,0.5750541125541125,0.24110544217687074,63.127350030921455,26.29809833024119,50.628648732220164,35.23662646876933,36.681168831168826,82.21485776128634
ATP,Marc-Andrea Huesler,12,0.85,0.14,6.07,60.7,74.8,52.4,66.0,59.5,79.5,0.45,0.15,64.8,25.9,46.4,33.1,32.9,84.8,0.6047280844155845,0.2063149350649351,3.6323173701298703,61.61254058441559,71.92520292207791,50.94586038961039,63.83137175324675,60.09719967532468,78.07771915584416,0.47826704545454546,0.20915178571428572,63.20929383116883,27.34500811688312,47.90020292207792,34.908644480519484,36.42556818181818,81.81400162337663
ATP,Jan Choinski,6,0.37,0.07,5.29,67.8,69.0,54.3,64.3,57.6,80.0,0.59,0.16,64.7,28.8,41.0,33.1,41.9,81.2,0.4373576423576424,0.20546453546453547,2.889775224775225,63.461588411588416,69.92332667332667,51.048751248751245,62.938611388611385,59.79655344655346,77.86488511488511,0.5170979020979021,0.22510989010989013,62.81913086913087,28.347702297702305,47.00024975024974,35.32602397602398,39.31608391608391,80.29415584415584
ATP,Garrett Johns,3,0.52,0.1,5.2,52.8,74.8,56.3,66.1,66.7,87.1,0.57,0.33,60.5,27.8,49.3,36.3,38.9,76.7,0.4657086391869001,0.22704686617730097,2.564963297571993,60.93918690005646,70.80028232636928,50.88554488989271,62.99582156973461,61.27001693958217,78.51247882552231,0.5049802371541502,0.255776397515528,62.02597402597403,28.15827216261999,48.86549971767363,36.03376623376624,38.58774703557312,79.58904573687182
ATP,Borna Gojo,14,0.77,0.16,4.81,64.7,75.9,47.5,65.9,58.0,82.5,0.42,0.16,62.4,27.2,47.3,34.8,37.6,80.5,0.5862146676852559,0.21064935064935067,3.256886936592818,63.2059205500382,72.54724980901452,49.01375095492742,63.91776165011459,59.444423223834995,79.39667685255921,0.46425133689839576,0.20978991596638658,62.31462948815891,27.79530175706647,48.18254392666157,35.50225362872422,38.15347593582887,80.2190603514133
ATP,Eliot Spizzirri,32,0.43,0.09,4.78,69.9,70.3,51.6,64.7,56.3,78.1,0.57,0.21,64.8,30.2,52.8,38.1,46.6,76.6,0.4406018981018981,0.15003996003996004,3.776041458541459,66.9231018981019,70.26166333666333,51.012837162837165,63.86545954045955,57.89827672327673,77.76321178821179,0.5412412587412587,0.22332417582417582,63.82110389610389,29.435389610389613,51.26166333666333,37.289935064935065,43.50034965034965,77.91630869130869
ATP,Jannik Sinner,57,0.52,0.11,4.73,62.3,79.2,58.5,71.4,71.6,91.5,0.51,0.27,62.4,33.7,57.9,42.8,44.7,66.8,0.5037831000168662,0.1453516613256873,4.064989036937089,62.263653229887,76.86242199359084,56.3112666554225,69.0961544948558,68.70532973519987,87.79203912970146,0.5061629279811098,0.26341372912801486,62.36230392983639,32.274548827795584,55.536447967616795,41.03216393995614,43.10023612750885,70.23439028503964
ATP,Yannick Hanfmann,49,0.52,0.11,4.73,67.5,71.3,57.3,66.7,56.2,83.1,0.52,0.22,61.7,30.2,49.4,37.5,39.8,76.9,0.5019028797289667,0.14945040466779597,3.987886316581969,65.95219273480143,70.98125352907962,55.20532655750046,65.49136081309994,57.433483907396955,81.39691323169583,0.5128194993412385,0.22714285714285715,61.86083192170149,29.62377188029362,49.22618106531149,37.063429324298895,39.43504611330698,77.80504423113119
ATP,Chak Lam Coleman Wong,26,0.71,0.15,4.73,62.2,72.4,51.4,64.5,61.9,80.4,0.5,0.26,62.6,27.8,49.6,36.0,44.2,79.2,0.6002456239412761,0.19178430265386787,3.6168294748729535,62.18263692828911,71.4436194240542,50.82320722755505,63.64356295878034,61.27196499153021,79.01928289102202,0.49792490118577076,0.25332298136645964,62.449943534726145,27.97913608131,49.25231507622812,35.99731789949181,41.739525691699605,79.55756634669679
ATP,Lloyd George Harris,19,0.98,0.21,4.67,60.8,74.8,52.0,65.8,65.6,83.5,0.42,0.23,63.6,28.1,45.4,34.4,35.3,81.9,0.7120845820845821,0.2285148185148185,3.3877988677988675,61.4974691974692,72.44119214119215,51.01198801198801,64.12317682317682,62.961804861804865,80.28171828171828,0.4585780885780885,0.23750915750915752,62.910189810189806,28.157442557442558,47.14375624375624,35.217349317349324,36.96200466200466,80.93712953712955
