place,player,player_key,league,movement,country,points
1,Carlos Alcaraz,2382,ATP,same,Spain,12050
2,Jannik Sinner,2072,ATP,same,Italy,11500
3,Alexander Zverev,1980,ATP,same,Germany,5160
4,Novak Djokovic,1905,ATP,same,Serbia,4830
5,Felix Auger-Aliassime,2073,ATP,up,Canada,4245
6,Taylor Fritz,2832,ATP,same,USA,4135
7,Alex De Minaur,1106,ATP,same,Australia,4135
8,Lorenzo Musetti,2849,ATP,up,Italy,4040
9,Ben Shelton,2973,ATP,down,USA,3970
10,Jack Draper,7011,ATP,same,United Kingdom,2990
11,Alexander Bublik,1895,ATP,same,Kazakhstan,2870
12,Casper Ruud,430,ATP,same,Norway,2835
13,Daniil Medvedev,1093,ATP,same,World,2760
14,Alejandro Davidovich Fokina,2842,ATP,same,Spain,2635
15,Holger Rune,437,ATP,same,Denmark,2590
16,Andrey Rublev,2847,ATP,same,World,2520
17,Jiri Lehecka,2959,ATP,same,Czech Republic,2325
18,Karen Khachanov,435,ATP,same,World,2320
19,Jakub Mensik,902,ATP,same,Czech Republic,2180
20,Tommy Paul,1894,ATP,same,USA,2100
21,Francisco Cerundolo,1104,ATP,same,Argentina,2085
22,Flavio Cobolli,372,ATP,same,Italy,2025
23,Denis Shapovalov,431,ATP,same,Canada,1675
24,Joao Fonseca,40058,ATP,same,Brazil,1635
25,Tallon Griekspoor,427,ATP,same,Netherlands,1615
26,Luciano Darderi,8781,ATP,same,Italy,1609
27,Cameron Norrie,1103,ATP,same,United Kingdom,1573
28,Learner Tien,10520,ATP,same,USA,1550
29,Arthur Rinderknech,1902,ATP,same,France,1540
30,Frances Tiafoe,2846,ATP,same,USA,1510
31,Valentin Vacherot,1852,ATP,same,Monaco,1483
32,Tomas Machac,2981,ATP,same,Czech Republic,1445
33,Brandon Nakashima,2838,ATP,same,USA,1430
34,Stefanos Tsitsipas,1906,ATP,same,Greece,1425
35,Corentin Moutet,2674,ATP,same,France,1408
36,Jaume Munar,2083,ATP,same,Spain,1395
37,Ugo Humbert,1105,ATP,same,France,1380
38,Alex Michelsen,10884,ATP,same,USA,1325
39,Lorenzo Sonego,2843,ATP,same,Italy,1265
40,Arthur Fils,1759,ATP,same,France,1260
41,Gabriel Diallo,9909,ATP,same,Canada,1253
42,Alexandre Muller,374,ATP,same,France,1230
43,Zizou Bergs,1064,ATP,same,Belgium,1218
44,Grigor Dimitrov,2384,ATP,same,Bulgaria,1180
45,Sebastian Baez,1101,ATP,same,Argentina,1155
46,Daniel Altmaier,1099,ATP,same,Germany,1148
47,Nuno Borges,358,ATP,same,Portugal,1145
48,Sebastian Korda,2840,ATP,same,USA,1100
49,Camilo Ugo Carabelli,401,ATP,same,Argentina,1078
50,Reilly Opelka,422,ATP,same,USA,1026
51,Fabian Marozsan,10148,ATP,same,Hungary,1025
52,Miomir Kecmanovic,2848,ATP,same,Serbia,1025
53,Jenson Brooksby,2169,ATP,same,USA,1017
54,Alexei Popyrin,1926,ATP,same,Australia,1000
55,Marton Fucsovics,2833,ATP,same,Hungary,963
56,Matteo Berrettini,2844,ATP,same,Italy,945
57,Damir Dzumhur,1079,ATP,same,Bosnia and Herzegovina,937
58,Valentin Royer,954,ATP,same,France,936
59,Giovanni Mpetshi Perricard,9222,ATP,same,France,925
60,Martin Etcheverry Tomas,1777,ATP,same,Argentina,920
61,Francisco Comesana,2084,ATP,same,Argentina,904
62,Aleksandar Kovacevic,2978,ATP,same,USA,890
63,Matteo Arnaldi,1192,ATP,same,Italy,883
64,Kamil Majchrzak,1096,ATP,up,Poland,861
65,Terence Atmane,13091,ATP,same,France,855
66,Marcos Giron,1766,ATP,up,USA,855
67,Arthur Cazaux,1067,ATP,up,France,848
68,Gael Monfils,2845,ATP,up,France,825
69,Adrian Mannarino,438,ATP,up,France,817
70,Ethan Quinn,9225,ATP,down,USA,802
71,Jacob Fearnley,12951,ATP,same,United Kingdom,787
72,Mariano Navone,949,ATP,same,Argentina,785
73,Hubert Hurkacz,2841,ATP,up,Poland,775
74,Mattia Bellucci,2112,ATP,down,Italy,766
75,Marin Cilic,2167,ATP,up,Croatia,765
76,Jesper De Jong,412,ATP,up,Netherlands,763
77,Botic Van De Zandschulp,2972,ATP,up,Netherlands,756
78,Adam Walton,10070,ATP,up,Australia,740
79,Filip Misolic,594,ATP,up,Austria,726
80,Cristian Garin,2071,ATP,up,Chile,726
81,Alejandro Tabilo,2982,ATP,same,Chile,721
82,Aleksandar Vukic,360,ATP,same,Australia,718
83,Hamad Medjedovic,2677,ATP,same,Serbia,718
84,Jan-Lennard Struff,2831,ATP,up,Germany,711
85,Manuel Cerundolo Juan,388,ATP,down,Argentina,704
86,Raphael Collignon,825,ATP,down,Belgium,704
87,Luca Nardi,386,ATP,down,Italy,699
88,Emilio Nava,567,ATP,same,USA,684
89,Pablo Carreno-Busta,434,ATP,same,Spain,681
90,Dalibor Svrcina,1754,ATP,down,Czech Republic,680
91,Eliot Spizzirri,2983,ATP,down,USA,680
92,Quentin Halys,1925,ATP,down,France,679
93,Roberto Bautista-Agut,2734,ATP,down,Spain,670
94,Shintaro Mochizuki,1880,ATP,down,Japan,669
95,Pedro Martinez,1775,ATP,down,Spain,668
96,Benjamin Bonzi,1771,ATP,down,France,667
97,Alexander Shevchenko,566,ATP,down,Kazakhstan,662
98,Hugo Gaston,1102,ATP,down,France,653
99,Laslo Djere,2386,ATP,same,Serbia,652
100,Tristan Schoolkate,1183,ATP,down,Australia,649
101,Agustin Tirante Thiago,366,ATP,up,Argentina,649
102,Vit Kopriva,1083,ATP,same,Czech Republic,636
103,Carlos Taberner,1974,ATP,down,Spain,636
104,Yannick Hanfmann,1764,ATP,up,Germany,631
105,Ignacio Buse,9514,ATP,down,Peru,627
106,James Duckworth,1900,ATP,same,Australia,615
107,Andres Burruchaga Roman,9596,ATP,same,Argentina,615
108,Jordan Thompson,207,ATP,same,Australia,586
109,Tomas Barrios Vera,396,ATP,down,Chile,585
110,Nikoloz Basilashvili,424,ATP,up,Georgia,579
111,Yoshihito Nishioka,1972,ATP,down,Japan,566
112,Mackenzie McDonald,2839,ATP,down,USA,559
113,Brandon Holt,8158,ATP,down,USA,559
114,Christopher O'Connell,421,ATP,down,Australia,546
115,Borna Coric,3136,ATP,same,Croatia,545
116,Alexander Blockx,39913,ATP,up,Belgium,542
117,Patrick Kypson,8130,ATP,same,USA,533
118,David Goffin,2385,ATP,same,Belgium,525
119,Dusan Lajovic,2675,ATP,same,Serbia,519
120,Yunchaokete Bu,796,ATP,down,China,509
121,Nicolas Jarry,400,ATP,down,Chile,501
122,Dino Prizmic,10869,ATP,down,Croatia,501
123,Liam Draxl,3696,ATP,up,Canada,501
124,Hsin Tseng Chun,389,ATP,down,Taiwan,498
125,Billy Harris,1186,ATP,up,United Kingdom,490
126,Otto Virtanen,767,ATP,same,Finland,488
127,Rinky Hijikata,3317,ATP,same,Australia,485
128,Francesco Passaro,8442,ATP,same,Italy,485
129,Jan Choinski,5979,ATP,same,United Kingdom,484
130,Vilius Gaubas,9385,ATP,down,Lithuania,478
131,Martin Landaluce,39864,ATP,up,Spain,474
132,Nicolai Budkov Kjaer,55163,ATP,same,Norway,473
133,Roberto Carballes Baena,593,ATP,down,Spain,469
134,Sebastian Ofner,359,ATP,down,Austria,463
135,Marco Trungelliti,395,ATP,down,Argentina,458
136,Moez Echargui,1207,ATP,down,Tunisia,452
137,Kyrian Jacquet,1335,ATP,down,France,449
138,Hugo Dellien,2980,ATP,up,Bolivia,438
139,Andrea Pellegrino,2001,ATP,down,Italy,438
140,Lukas Klein,1969,ATP,down,Slovakia,436
141,Zachary Svajda,2986,ATP,down,USA,431
142,Ugo Blanchet,1903,ATP,same,France,427
143,Coleman Wong Chak Lam,2227,ATP,down,Hong Kong,424
144,Colton Smith,54466,ATP,down,USA,424
145,Sho Shimabukuro,9608,ATP,down,Japan,420
146,Mark Lajal,731,ATP,down,Estonia,412
147,Titouan Droguet,8926,ATP,down,France,410
148,Matteo Gigante,1187,ATP,down,Italy,407
149,Jaime Faria,824,ATP,down,Portugal,405
150,Elahi Galan Daniel,1735,ATP,down,Colombia,405
151,Giulio Zeppieri,376,ATP,down,Italy,405
152,Elmer Moller,39675,ATP,up,Denmark,405
153,Henrique Rocha,827,ATP,down,Portugal,401
154,Pierre-Hugues Herbert,1748,ATP,down,France,399
155,Nishesh Basavareddy,15270,ATP,up,USA,399
156,Stan Wawrinka,2168,ATP,down,Switzerland,397
157,Francesco Maestrelli,1180,ATP,down,Italy,392
158,Kei Nishikori,2985,ATP,down,Japan,385
159,Yosuke Watanuki,1097,ATP,down,Japan,380
160,Guy Den Ouden,1935,ATP,down,Netherlands,372
161,Luka Mikrut,938,ATP,down,Croatia,372
162,Harold Mayot,1189,ATP,down,France,361
163,Daniel Vallejo Adolfo,9217,ATP,down,Paraguay,356
164,Pablo Ficovich Juan,420,ATP,down,Argentina,353
165,Zsombor Piros,367,ATP,down,Hungary,353
166,Vitaliy Sachko,1899,ATP,up,Ukraine,353
167,Luca van Assche,1066,ATP,down,France,352
168,Rafael Jodar,50323,ATP,up,Spain,349
169,Elias Ymer,1082,ATP,down,Sweden,341
170,Roman Safiullin,1057,ATP,same,World,338
171,August Holmgren,19536,ATP,same,Denmark,337
172,Daniel Merida Aguilar,978,ATP,same,Spain,336
173,Hugo Grenier,1073,ATP,down,France,334
174,Alex Barrena,1324,ATP,down,Argentina,333
175,Martin Damm,1317,ATP,up,USA,330
176,Rei Sakamoto,37897,ATP,down,Japan,330
177,Jurij Rodionov,416,ATP,up,Austria,329
178,Hady Habib,1949,ATP,up,Lebanon,328
179,Leandro Riedi,1092,ATP,up,Switzerland,326
180,Tristan Boyer,9037,ATP,up,USA,326
181,Yibing Wu,1849,ATP,same,China,322
182,Bernard Tomic,3145,ATP,down,Australia,319
183,Daniel Evans,2835,ATP,same,United Kingdom,317
184,Jerome Kym,1304,ATP,same,Switzerland,315
185,Michael Zheng,9515,ATP,same,USA,315
186,Thiago Monteiro,1074,ATP,up,Brazil,310
187,Lucas Reis Da Silva Joao,2408,ATP,same,Brazil,307
188,Alex Bolt,3319,ATP,down,Australia,305
189,Lukas Neumayer,2022,ATP,up,Austria,302
190,Jason Kubler,364,ATP,same,Australia,301
191,Daniil Glinka,780,ATP,down,Estonia,300
192,Oliver Crawford,945,ATP,down,United Kingdom,300
193,Sascha Gueymard Wayenburg,1742,ATP,down,France,297
194,Dan Added,1854,ATP,down,France,296
195,Justin Engel,55060,ATP,down,Germany,295
196,James McCabe,1882,ATP,up,Australia,293
197,Alvaro Guillen Meza,9230,ATP,down,Ecuador,293
198,Arthur Fery,8174,ATP,down,United Kingdom,288
199,Jack Pinnington Jones,1858,ATP,up,United Kingdom,287
200,Ryan Peniston,1072,ATP,up,United Kingdom,287
201,Clement Tabur,1762,ATP,up,France,286
202,Alex Molcan,436,ATP,up,Slovakia,286
203,Alexis Galarneau,557,ATP,up,Canada,285
204,Arnaud Bailly Gilles,10840,ATP,up,Belgium,285
205,Mitchell Krueger,1751,ATP,up,USA,284
206,Chris Rodesch,5980,ATP,up,Luxembourg,284
207,Stefano Travaglia,2672,ATP,up,Italy,283
