place,player,player_key,league,movement,country,points
1,Aryna Sabalenka,1989,WTA,same,World,10870
2,Iga Swiatek,1910,WTA,same,Poland,8395
3,Coco Gauff,2176,WTA,same,USA,6763
4,Amanda Anisimova,2074,WTA,same,USA,6287
5,Elena Rybakina,2172,WTA,same,Kazakhstan,5850
6,Jessica Pegula,2171,WTA,same,USA,5583
7,Madison Keys,2692,WTA,same,USA,4335
8,Jasmine Paolini,2811,WTA,same,Italy,4325
9,Mirra Andreeva,9534,WTA,same,World,4319
10,Ekaterina Alexandrova,2392,WTA,same,World,3375
11,Belinda Bencic,2387,WTA,same,Switzerland,3168
12,Clara Tauson,3007,WTA,same,Denmark,2770
13,Linda Noskova,447,WTA,same,Czech Republic,2641
14,Elina Svitolina,2816,WTA,same,Ukraine,2606
15,Emma Navarro,2823,WTA,same,USA,2515
16,Naomi Osaka,2685,WTA,same,Japan,2487
17,Liudmila Samsonova,2815,WTA,same,World,2209
18,Victoria Mboko,9527,WTA,same,Canada,2157
19,Karolina Muchova,2807,WTA,same,Czech Republic,1996
20,Elise Mertens,521,WTA,same,Belgium,1969
21,Diana Shnaider,7403,WTA,same,World,1866
22,Leylah Fernandez,2394,WTA,same,Canada,1821
23,Jelena Ostapenko,2802,WTA,same,Latvia,1800
24,Qinwen Zheng,1813,WTA,same,China,1728
25,Paula Badosa,2178,WTA,same,Spain,1676
26,Marta Kostyuk,1828,WTA,same,Ukraine,1659
27,Dayana Yastremska,2813,WTA,same,Ukraine,1604
28,Sofia Kenin,2904,WTA,same,USA,1589
29,Emma Raducanu,2996,WTA,same,United Kingdom,1563
30,Veronika Kudermetova,2810,WTA,same,World,1558
31,McCartney Kessler,22072,WTA,same,USA,1558
32,Maya Joint,52689,WTA,same,Australia,1539
33,Anna Kalinskaya,1820,WTA,same,World,1461
34,Marketa Vondrousova,2814,WTA,same,Czech Republic,1445
35,Iva Jovic,58226,WTA,same,USA,1437
36,Lois Boisson,8802,WTA,same,France,1351
37,Daria Kasatkina,1990,WTA,same,Australia,1334
38,Ann Li,2997,WTA,same,USA,1334
39,Jaqueline Cristian,2992,WTA,same,Romania,1324
40,Eva Lys,2088,WTA,same,Germany,1291
41,Tatjana Maria,2414,WTA,same,Germany,1277
42,Jessica Bouzas Maneiro,154,WTA,same,Spain,1262
43,Marie Bouzkova,2820,WTA,same,Czech Republic,1260
44,Sorana Cirstea,1150,WTA,same,Romania,1243
45,Ashlyn Krueger,196,WTA,same,USA,1229
46,Laura Siegemund,464,WTA,same,Germany,1214
47,Anastasia Pavlyuchenkova,2694,WTA,same,World,1184
48,Emiliana Arango,1802,WTA,same,Colombia,1176
49,Katerina Siniakova,3006,WTA,same,Czech Republic,1172
50,Alexandra Eala,3490,WTA,same,Philippines,1143
51,Anastasia Potapova,457,WTA,same,World,1131
52,Maria Sakkari,2076,WTA,same,Greece,1116
53,Janice Tjen,28551,WTA,same,Indonesia,1106
54,Cristina Bucsa,454,WTA,same,Spain,1098
55,Magda Linette,1154,WTA,same,Poland,1089
56,Tereza Valentova,8976,WTA,same,Czech Republic,1072
57,Xinyu Wang,1812,WTA,same,China,1056
58,Beatriz Haddad Maia,1951,WTA,same,Brazil,1052
59,Magdalena Frech,2089,WTA,same,Poland,1051
60,Elsa Jacquemot,1823,WTA,same,France,1044
61,Hailey Baptiste,490,WTA,same,USA,1023
62,Anna Blinkova,1779,WTA,same,World,1018
63,Peyton Stearns,2827,WTA,same,USA,1013
64,Danielle Collins,34409,WTA,same,USA,996
65,Barbora Krejcikova,2801,WTA,same,Czech Republic,989
66,Solana Sierra,140,WTA,same,Argentina,978
67,Alycia Parks,1792,WTA,same,USA,961
68,Olga Danilovic,494,WTA,same,Serbia,957
69,Viktorija Golubic,525,WTA,same,Switzerland,953
70,Renata Zarazua,1805,WTA,same,Mexico,944
71,Sonay Kartal,1961,WTA,same,United Kingdom,937
72,Donna Vekic,455,WTA,same,Croatia,935
73,Yulia Putintseva,2177,WTA,same,Kazakhstan,924
74,Rebecca Sramkova,449,WTA,same,Slovakia,914
75,Antonia Ruzic,168,WTA,same,Croatia,914
76,Sara Bejlek,9393,WTA,same,Czech Republic,912
77,Francesca Jones,2991,WTA,same,United Kingdom,912
78,Anna Bondar,505,WTA,same,Hungary,900
79,Ons Jabeur,1911,WTA,same,Tunisia,893
80,Varvara Gracheva,1913,WTA,same,France,887
81,Caty McNally,1127,WTA,same,USA,864
82,Camila Osorio,2390,WTA,same,Colombia,860
83,Ajla Tomljanovic,1146,WTA,same,Australia,844
84,Elisabetta Cocciaretto,477,WTA,same,Italy,837
85,Ella Seidel,2415,WTA,same,Germany,833
86,Simona Waltert,493,WTA,same,Switzerland,830
87,Suzan Lamens,450,WTA,same,Netherlands,825
88,Lulu Sun,,WTA,same,New Zealand,825
89,Katie Volynets,2826,WTA,same,USA,810
90,Polina Kudermetova,9259,WTA,same,World,809
91,Moyuka Uchijima,,WTA,same,Japan,808
92,Julia Grabher,489,WTA,same,Austria,808
93,Mayar Sherif,510,WTA,same,Egypt,803
94,Darja Semenistaja,157,WTA,same,Latvia,803
95,Kimberly Birrell,92,WTA,same,Australia,800
96,Dalma Galfi,507,WTA,same,Hungary,795
97,Oksana Selekhmeteva,478,WTA,same,World,783
98,Kaja Juvan,519,WTA,same,Slovenia,770
99,Gabriela Ruse Elena,1151,WTA,same,Romania,757
100,Katie Boulter,2993,WTA,same,United Kingdom,744
101,Anastasia Zakharova,1794,WTA,same,World,741
102,Shuai Zhang,1825,WTA,same,China,738
103,Lucia Bronzetti,516,WTA,same,Italy,731
104,Priscilla Hon,467,WTA,same,Australia,720
105,Sinja Kraus,1424,WTA,same,Austria,709
106,Leolia Jeanjean,9118,WTA,same,France,706
107,Victoria Jimenez Kasintseva,1137,WTA,same,Andorra,697
108,Panna Udvardy,1141,WTA,same,Hungary,694
109,Oleksandra Oliynykova,12876,WTA,same,Ukraine,694
110,Kamilla Rakhimova,1140,WTA,same,World,692
111,Aliaksandra Sasnovich,527,WTA,same,World,685
112,Caroline Dolehide,482,WTA,same,USA,684
113,Zeynep Sonmez,4062,WTA,same,Turkey,680
114,Veronika Erjavec,163,WTA,same,Slovenia,680
115,Yuliia Starodubtseva,50398,WTA,down,Ukraine,671
116,Petra Marcinko,1143,WTA,down,Croatia,671
117,Rebeka Masarova,1132,WTA,down,Switzerland,659
118,Aoi Ito,13618,WTA,up,Japan,655
119,Taylor Townsend,3214,WTA,same,USA,652
120,Elina Avanesyan,1810,WTA,same,Armenia,649
121,Greet Minnen,2191,WTA,down,Belgium,644
122,Katarzyna Kawa,1780,WTA,down,Poland,630
123,Joanna Garland,1962,WTA,up,Taiwan,628
124,Hanne Vandewinkel,9254,WTA,down,Belgium,627
125,Jil Teichmann,2077,WTA,down,Switzerland,623
126,Sarah Rakotomanga Rajaonah Tiantsoa,37886,WTA,up,France,621
127,Diane Parry,1833,WTA,same,France,615
128,Lourdes Carle Maria,187,WTA,same,Argentina,604
129,Yue Yuan,,WTA,same,China,585
130,Nikola Bartunkova,9196,WTA,same,Czech Republic,582
131,Marina Stakusic,81,WTA,same,Canada,579
132,Dominika Salkova,179,WTA,same,Czech Republic,573
133,Maja Chwalinska,1434,WTA,same,Poland,563
134,Viktoriya Tomova,499,WTA,same,Bulgaria,557
135,Victoria Azarenka,2174,WTA,same,World,555
136,Talia Gibson,3326,WTA,same,Australia,555
137,Linda Fruhvirtova,446,WTA,same,Czech Republic,553
138,Leyre Romero Gormaz,141,WTA,same,Spain,551
139,Arantxa Rus,508,WTA,same,Netherlands,535
140,Lucrezia Stefanini,1113,WTA,down,Italy,525
141,Tamara Korpatsch,501,WTA,down,Germany,523
142,Lanlana Tararudee,25728,WTA,down,Thailand,523
143,Kaitlin Quevedo,13647,WTA,down,Spain,518
144,Whitney Osuigwe,1431,WTA,up,USA,517
145,Lola Radivojevic,1364,WTA,same,Serbia,517
146,Linda Klimovicova,8978,WTA,same,Poland,514
147,Irina-Camelia Begu,2828,WTA,same,Romania,509
148,Alexia Todoni Anca,10891,WTA,same,Romania,496
149,Darja Vidmanova,9260,WTA,up,Czech Republic,495
150,Sofia Costoulas,9248,WTA,up,Belgium,490
151,Maria Timofeeva,12869,WTA,up,Uzbekistan,486
152,Nuria Brancaccio,222,WTA,same,Italy,478
153,Lilli Tagger,53046,WTA,same,Austria,471
154,Varvara Lepchenko,2765,WTA,same,USA,468
155,Iryna Shymanovich,223,WTA,same,World,466
156,Astra Sharma,,WTA,same,Australia,464
157,Anhelina Kalinina,2393,WTA,same,Ukraine,462
158,Bernarda Pera,518,WTA,down,USA,459
159,Daria Snigur,1131,WTA,up,Ukraine,452
160,Alina Charaeva,13421,WTA,down,World,451
161,Tamara Zidansek,2803,WTA,down,Slovenia,445
162,Daria Saville,1153,WTA,down,Australia,442
163,Lin Zhu,451,WTA,down,China,429
164,Carole Monnet,1831,WTA,down,France,429
165,Jodie Burrage,1437,WTA,up,United Kingdom,425
166,Polina Iatcenko,9264,WTA,up,World,425
167,Louisa Chirico,456,WTA,same,USA,421
168,Guiomar Maristany Zuleta De Reales,142,WTA,down,Spain,418
169,Hanyu Guo,7931,WTA,up,China,415
170,Clervie Ngounoue,2994,WTA,up,USA,414
171,Julia Riera,2281,WTA,up,Argentina,413
172,Jessika Ponchet,472,WTA,up,France,406
173,Despina Papamichail,1111,WTA,up,Greece,406
174,Tatiana Prozorova,9253,WTA,up,World,405
175,Xiyu Wang,463,WTA,up,China,404
176,Emerson Jones,10924,WTA,down,Australia,403
177,Maddison Inglis,1788,WTA,up,Australia,401
178,Andrea Lazaro Garcia,1117,WTA,down,Spain,400
179,Harriet Dart,2998,WTA,up,United Kingdom,399
180,Xinyu Gao,7289,WTA,up,China,398
181,Himeno Sakatsume,115,WTA,up,Japan,395
182,Rebecca Marino,479,WTA,up,Canada,390
183,Ekaterine Gorgodze,491,WTA,up,Georgia,390
184,Carson Branstine,6528,WTA,up,Canada,389
185,Elizabeth Mandlik,209,WTA,same,USA,387
186,Sofia Sanchez Ana,123,WTA,up,Mexico,387
187,Nao Hibino,465,WTA,up,Japan,386
188,Cadence Brace,204,WTA,up,Canada,385
189,Nuria Parrizas-Diaz,513,WTA,up,Spain,384
190,Nina Stojanovic,3004,WTA,up,Serbia,383
191,Teodora Kostovic,52707,WTA,up,Serbia,382
192,Anastasia Gasanova,468,WTA,down,World,379
193,Gabriela Knutson,24736,WTA,up,Czech Republic,377
194,Anna-Lena Friedsam,522,WTA,up,Germany,376
195,Laura Pigossi,1125,WTA,up,Brazil,373
196,Manon Leonard,7520,WTA,up,France,373
197,Ena Shibahara,1986,WTA,up,Japan,370
198,Jana Fett,1801,WTA,up,Croatia,369
199,Anouk Koevermans,13375,WTA,up,Netherlands,368
200,Alice Rame,1124,WTA,up,France,368
201,Elena Pridankina,9399,WTA,up,World,365
202,Robin Montgomery,2123,WTA,down,USA,358
203,Elvina Kalieva,198,WTA,down,USA,358
204,Lina Gjorcheska,227,WTA,down,North Macedonia,358
205,Silvia Ambrosio,2292,WTA,down,Italy,356
206,Sijia Wei,40,WTA,down,China,354
207,Francisca Jorge,1410,WTA,up,Portugal,354
208,Arina Rodionova,453,WTA,up,Australia,353
209,Anastasija Sevastova,2825,WTA,up,Latvia,351
210,Claire Liu,509,WTA,up,USA,349
211,Caterina Grant Tyra,40794,WTA,up,Italy,349
212,Petra Martic,2173,WTA,up,Croatia,348
213,Youngsuh Lee Carol,38969,WTA,same,USA,347
214,Olivia Gadecki,1809,WTA,same,Australia,343
215,Alina Korneeva,,WTA,same,World,343
216,Jasmin Ortenzi,224,WTA,same,Argentina,342
217,Taylah Preston,3324,WTA,down,Australia,341
218,Eva Vedder,2277,WTA,down,Netherlands,340
219,Viktoria Hruncakova,445,WTA,down,Slovakia,338
220,Harmony Tan,1156,WTA,down,France,334
221,Justina Mikulskyte,232,WTA,up,Lithuania,332
222,Mananchaya Sawangkaew,12716,WTA,up,Thailand,332
223,Kathinka von Deichmann,459,WTA,up,Liechtenstein,331
224,Bianca Bulgaru Miriam,173,WTA,up,Romania,327
225,Camilla Rosatello,216,WTA,up,Italy,326
226,Wakana Sonobe,38855,WTA,up,Japan,323
227,Yexin Ma,126,WTA,up,China,322
228,Bianca Andreescu,2817,WTA,up,Canada,319
229,Jessica Pieri,3003,WTA,up,Italy,318
230,Selena Janicijevic,470,WTA,down,France,317
231,Mona Barthel,171,WTA,up,Germany,314
232,Hina Inoue,118,WTA,down,USA,313
233,Kayla Cross,6700,WTA,down,Canada,312
234,Aliona Bolsova Zadoinov,1107,WTA,up,Spain,311
235,Barbora Palicova,2280,WTA,down,Czech Republic,310
236,Destanee Aiava,3134,WTA,up,Australia,308
237,Tara Wuerth,2578,WTA,up,Croatia,307
238,Sada Nahimana,1988,WTA,up,Burundi,305
239,Mai Hontama,1787,WTA,down,Japan,303
240,Carolina Alves,495,WTA,up,Brazil,302
241,Susan Bandecchi,484,WTA,up,Switzerland,301
242,Marina Bassols Ribera,135,WTA,down,Spain,297
243,Fiona Crawley,20540,WTA,down,USA,297
244,Kyoka Okamura,1396,WTA,up,Japan,296
245,Sara Saito,,WTA,down,Japan,296
246,Jule Niemeier,471,WTA,up,Germany,295
247,Georgiana Serban Raluca,1807,WTA,up,Cyprus,293
248,Irene Burillo Escorihuela,1907,WTA,up,Spain,293
249,Chloe Paquet,1142,WTA,up,France,290
250,Lizette Cabrera,497,WTA,up,Australia,289
251,Sinclair Rogers Anna,124,WTA,same,USA,288
252,Erika Andreeva,1958,WTA,down,World,287
253,Kiara Toth Amarissa,9242,WTA,up,Hungary,285
254,Arianne Hartono,1134,WTA,up,Netherlands,283
255,Yeonwoo Ku,9407,WTA,up,South Korea,282
256,Kayla Day,132,WTA,down,USA,280
257,Ayana Akli,53646,WTA,up,USA,279
258,Lily Miyazaki Yuriko,462,WTA,up,United Kingdom,275
259,Mingge Xu,9391,WTA,up,United Kingdom,273
260,Mary Stoiana,56261,WTA,down,USA,273
261,Caroline Werner,4802,WTA,up,Germany,273
262,Anastasia Tikhonova,1122,WTA,down,World,273
263,Angela Fita Boluda,159,WTA,down,Spain,270
264,Matilde Jorge,97,WTA,up,Portugal,270
265,Laura Samson,2815,WTA,up,Czech Republic,270
266,Anastasiia Sobolieva,13987,WTA,down,Ukraine,267
267,Heather Watson,1155,WTA,up,United Kingdom,264
268,Celine Naef,10911,WTA,up,Switzerland,264
269,Katherine Sebov,6701,WTA,up,Canada,263
270,Katharina Hobgarski,1827,WTA,up,Germany,263
271,Luisina Giovannini,21359,WTA,up,Argentina,262
272,Tessah Andrianjafitrimo,1147,WTA,up,France,260
273,Hanna Chang,1128,WTA,up,USA,258
274,Valentina Ryser,101,WTA,same,Switzerland,258
275,Mia Ristic,38070,WTA,same,Serbia,257
276,Mariam Bolkvadze,1806,WTA,same,Georgia,253
277,Haruka Kaji,5088,WTA,up,Japan,253
278,Renata Jamrichova,37894,WTA,up,Slovakia,252
279,Yafan Wang,2276,WTA,up,China,251
280,Katie Swan,1129,WTA,down,United Kingdom,251
281,Lisa Pigato,230,WTA,down,Italy,249
282,Mei Yamaguchi,98,WTA,up,Japan,248
283,Eva Guerrero Alvarez,5342,WTA,down,Spain,248
284,Kajsa Rinaldo Persson,2592,WTA,up,Sweden,245
285,Anna Siskova,218,WTA,up,Czech Republic,242
286,Julie Belgraver,1404,WTA,down,France,238
287,Wushuang Zheng,,WTA,up,China,237
288,Ekaterina Reyngold,1814,WTA,up,World,236
289,Madelyn Nugroho Priska,9261,WTA,up,Indonesia,236
290,Xiaodi You,1819,WTA,up,China,235
291,Sakura Hosogi,1399,WTA,up,Japan,235
292,Ylena In-Albon,1110,WTA,up,Switzerland,234
293,Alisa Oktiabreva,78480,WTA,up,World,233
294,Julia Avdeeva,14150,WTA,up,World,229
295,Lia Karatancheva,155,WTA,up,Bulgaria,227
296,Johanna Brockmann Tessa,63288,WTA,up,Germany,226
297,Zarina Diyas,1800,WTA,down,Kazakhstan,223
298,Gabriela Lee,1786,WTA,up,Romania,222
299,Eunhye Lee,,WTA,down,South Korea,221
300,Emina Bektas,1796,WTA,up,USA,220
301,Lauren Davis,2389,WTA,up,USA,220
302,Noma Noha Akugue,1029,WTA,down,Germany,220
303,Veronika Podrez,40100,WTA,down,Ukraine,220
304,Carol Zhao,1822,WTA,up,Canada,219
305,Sohyun Park,205,WTA,up,South Korea,217
306,Amarni Banks,13898,WTA,up,United Kingdom,216
307,Nastasja Schunk,487,WTA,same,Germany,215
308,Anouck Vrancken Peeters,2250,WTA,up,Netherlands,214
309,Cagla Buyukakcay,2988,WTA,down,Turkey,213
310,Sahaja Yamalapalli,13919,WTA,up,India,212
311,Caroline Garcia,1148,WTA,up,France,211
